"Statistic","Years","Osmia bicornis","Megachile rotundata","Nomia melanderi","Eucera pruinosa"
"CarryingCapacity","21",2463.7,2499.86,1060.58,2059.34
"CarryingCapacity","21-30",2464.886,2499.858,1082.592,2048.138
"CarryingCapacity","22",2464.54,2499.76,1052.6,2042.44
"CarryingCapacity","23",2466.24,2499.88,1052.54,2050.34
"CarryingCapacity","24",2464.1,2499.9,1065.02,2038.62
"CarryingCapacity","25",2463.76,2499.86,1089.04,2056.08
"CarryingCapacity","26",2463.8,2499.86,1083.8,2046.14
"CarryingCapacity","27",2465.46,2499.9,1110.62,2055.96
"CarryingCapacity","28",2464.82,2499.84,1107.22,2051.6
"CarryingCapacity","29",2465.24,2499.84,1106.3,2043.74
"CarryingCapacity","30",2467.2,2499.88,1098.2,2037.12
"MinPopSize","21",2430,2498,758,1959
"MinPopSize","21-30",2426,2497,758,1865
"MinPopSize","22",2448,2497,806,1941
"MinPopSize","23",2438,2499,843,1974
"MinPopSize","24",2446,2499,783,1865
"MinPopSize","25",2434,2498,851,1951
"MinPopSize","26",2447,2498,925,1943
"MinPopSize","27",2444,2498,914,1973
"MinPopSize","28",2426,2498,861,1918
"MinPopSize","29",2447,2497,881,1935
"MinPopSize","30",2447,2499,863,1937
"MaxPopSize","21",2483,2500,1311,2139
"MaxPopSize","21-30",2494,2500,1402,2181
"MaxPopSize","22",2478,2500,1201,2142
"MaxPopSize","23",2494,2500,1280,2159
"MaxPopSize","24",2476,2500,1263,2136
"MaxPopSize","25",2481,2500,1253,2113
"MaxPopSize","26",2487,2500,1284,2130
"MaxPopSize","27",2487,2500,1402,2181
"MaxPopSize","28",2486,2500,1305,2129
"MaxPopSize","29",2484,2500,1287,2137
"MaxPopSize","30",2489,2500,1340,2166
"MeanYearsToCarryingCapacity",NA,6.6,4.24,18.469387755102,5.72
"MinYearsToCarryingCapacity",NA,5,3,9,4
"MaxYearsToCarryingCapacity",NA,12,5,29,11
"Cnt20YearsToCarryingCapacity",NA,0,0,20,0
"SexRatio","1",0.389031669933598,0.47408738283815,0.376555211690173,0.457108030889731
"SexRatio","30",0.50121830339731,0.742883796718687,0.372350823218964,0.441468632325514
"ReproductiveRate","1",20.2360822115449,26.9412495603958,6.74175243839657,16.8277403721426
"ReproductiveRate","30",4.9637114587308,3.00518433836811,5.70998242451568,5.79694601845044
