Date,doy,factor_trees,factor_herbs
21. Mrz,80,0.67,0.33
22. Mrz,81,0.67,0.33
23. Mrz,82,0.67,0.33
24. Mrz,83,0.67,0.33
25. Mrz,84,0.67,0.33
26. Mrz,85,0.67,0.33
27. Mrz,86,0.67,0.33
28. Mrz,87,0.67,0.33
29. Mrz,88,0.67,0.33
30. Mrz,89,0.67,0.33
31. Mrz,90,0.67,0.33
01. Apr,91,0.67,0.33
02. Apr,92,0.67,0.33
03. Apr,93,0.67,0.33
04. Apr,94,0.67,0.33
05. Apr,95,0.67,0.33
06. Apr,96,0.67,0.33
07. Apr,97,0.67,0.33
08. Apr,98,0.67,0.33
09. Apr,99,0.67,0.33
10. Apr,100,0.67,0.33
11. Apr,101,0.67,0.33
12. Apr,102,0.67,0.33
13. Apr,103,0.67,0.33
14. Apr,104,0.67,0.33
15. Apr,105,0.67,0.33
16. Apr,106,0.67,0.33
17. Apr,107,0.67,0.33
18. Apr,108,0.67,0.33
19. Apr,109,0.67,0.33
20. Apr,110,0.67,0.33
21. Apr,111,1,0.33
22. Apr,112,1,0.33
23. Apr,113,1,0.33
24. Apr,114,1,0.33
25. Apr,115,1,0.33
26. Apr,116,1,0.33
27. Apr,117,1,0.33
28. Apr,118,1,0.33
29. Apr,119,1,0.33
30. Apr,120,1,0.33
01. Mai,121,1,0.33
02. Mai,122,1,0.33
03. Mai,123,1,0.33
04. Mai,124,1,0.33
05. Mai,125,1,0.33
06. Mai,126,1,0.33
07. Mai,127,1,0.33
08. Mai,128,1,0.33
09. Mai,129,1,0.33
10. Mai,130,1,0.33
11. Mai,131,1,0.33
12. Mai,132,1,0.33
13. Mai,133,1,0.33
14. Mai,134,1,0.33
15. Mai,135,1,0.33
16. Mai,136,1,0.33
17. Mai,137,1,0.33
18. Mai,138,1,0.33
19. Mai,139,1,0.33
20. Mai,140,1,0.33
21. Mai,141,0.33,1
22. Mai,142,0.33,1
23. Mai,143,0.33,1
24. Mai,144,0.33,1
25. Mai,145,0.33,1
26. Mai,146,0.33,1
27. Mai,147,0.33,1
28. Mai,148,0.33,1
29. Mai,149,0.33,1
30. Mai,150,0.33,1
31. Mai,151,0.33,1
01. Jun,152,0.33,1
02. Jun,153,0.33,1
03. Jun,154,0.33,1
04. Jun,155,0.33,1
05. Jun,156,0.33,1
06. Jun,157,0.33,1
07. Jun,158,0.33,1
08. Jun,159,0.33,1
09. Jun,160,0.33,1
10. Jun,161,0.33,1
11. Jun,162,0.33,1
12. Jun,163,0.33,1
13. Jun,164,0.33,1
14. Jun,165,0.33,1
15. Jun,166,0.33,1
16. Jun,167,0.33,1
17. Jun,168,0.33,1
18. Jun,169,0.33,1
19. Jun,170,0.33,1
20. Jun,171,0.33,1
