Study: S15-01802,,,,,
Niefern 2015,,,,,
,,,,,
Date,DAE,BBCH control,% of flowers open,Proportional resource availability,Remark
2015-04-21,0,61,10,0.2,Introduction of cocoons: estimated BBCH stage (not reported in study data)
2015-04-24,3,61-62,15,0.3,
2015-04-27,6,61-62,15,0.3,
2015-04-30,9,63-65,40,0.8,
2015-05-04,13,63-65,40,0.8,
2015-05-06,15,64-65,45,0.9,
2015-05-09,18,65,50,1,
2015-05-12,21,67-69,10,0.2,
2015-05-16,25,67-69,10,0.2,
2015-05-18,27,69,5,0.1,
2015-05-21,30,69-71,5,0.1,
2015-05-24,33,69-71,5,0.1,
2015-05-27,36,71,0,0,Last day in tunnel: not reported in the study 
