Study: S15-01804,,,,,
Celle 2015,,,,,
,,,,,
Date,DAE,BBCH control,% of flowers open,Proportional resource availability,Remark
2015-04-29,0,63,30,0.6,Introduction of cocoons: estimated BBCH stage (not reported in study data)
2015-05-02,3,63-65,40,0.8,
2015-05-05,6,63-65,40,0.8,
2015-05-08,9,65,50,1,
2015-05-11,12,65,50,1,
2015-05-15,16,65-67,40,0.8,
2015-05-17,18,67,20,0.4,
2015-05-20,21,67-69,10,0.2,
2015-05-23,24,67-69,10,0.2,
2015-05-26,27,67-69,10,0.2,
2015-05-29,30,67-69,10,0.2,
2015-06-01,33,69,5,0.1,
2015-06-04,36,70,0,0,Last day in tunnel: not reported in the study 
