Tag;AVG_RH200;AVG_TA200;MAX_NN050;MAX_RH200;MAX_TA200;MIN_RH200;MIN_TA200;SUM_NN050
01.01.2014;87,63;5,69;,00;100,00;10,52;70,83;1,78;,00
02.01.2014;92,83;7,19;1,40;100,00;8,99;72,67;5,06;4,00
03.01.2014;92,81;7,93;,20;100,00;12,05;80,17;4,24;,40
04.01.2014;95,65;7,15;,80;100,00;8,74;88,17;6,03;2,20
05.01.2014;95,37;5,36;,20;100,00;7,89;78,83;2,64;,20
06.01.2014;88,42;6,22;,00;99,00;11,67;77,50;1,54;,00
07.01.2014;81,42;10,82;,80;99,67;13,90;70,17;8,21;1,20
08.01.2014;92,32;10,41;,20;100,00;14,56;73,83;8,16;,60
09.01.2014;87,01;9,71;1,60;100,00;13,90;60,00;6,60;4,60
10.01.2014;93,58;6,14;,80;100,00;9,12;80,50;3,09;,80
11.01.2014;99,72;2,90;,20;100,00;6,13;95,00;-,25;,40
12.01.2014;100,00;1,14;,20;100,00;4,07;100,00;-2,34;,20
13.01.2014;100,00;2,14;1,20;100,00;5,27;100,00;-1,68;5,40
14.01.2014;100,00;4,36;,40;100,00;5,54;100,00;3,20;,80
15.01.2014;92,93;4,12;,00;100,00;6,71;74,17;1,49;,00
16.01.2014;96,81;5,99;1,20;100,00;9,61;80,17;3,94;2,40
17.01.2014;93,02;6,29;,00;100,00;10,71;70,50;3,80;,00
18.01.2014;99,76;2,40;,00;100,00;4,07;97,83;-,01;,00
19.01.2014;99,63;3,28;,00;100,00;4,97;97,50;,95;,00
20.01.2014;100,00;3,02;,20;100,00;3,93;100,00;1,63;1,00
21.01.2014;100,00;3,42;,40;100,00;4,02;100,00;2,83;1,60
22.01.2014;100,00;4,08;,00;100,00;5,08;100,00;3,22;,00
23.01.2014;99,73;3,74;,20;100,00;4,44;96,00;2,71;,80
24.01.2014;99,71;3,05;1,40;100,00;3,93;97,50;2,05;6,00
25.01.2014;99,63;2,73;,00;100,00;3,83;96,67;1,77;,00
26.01.2014;85,74;4,20;,60;100,00;6,40;67,83;1,62;,80
27.01.2014;93,71;4,04;1,60;100,00;6,64;76,33;2,37;4,40
28.01.2014;87,03;3,44;,40;100,00;8,28;49,67;,06;,80
29.01.2014;93,01;,57;,00;100,00;2,44;82,17;-,41;,00
30.01.2014;93,88;,18;,00;100,00;2,59;85,17;-1,39;,00
31.01.2014;94,51;,73;,00;100,00;4,92;77,83;-2,91;,00
01.02.2014;93,35;3,01;,60;100,00;7,15;68,33;-1,54;1,80
02.02.2014;99,31;4,36;,60;100,00;6,94;93,50;1,88;3,00
03.02.2014;99,01;2,34;,20;100,00;4,40;94,33;,32;,20
04.02.2014;99,57;2,78;,00;100,00;5,89;97,50;,79;,00
05.02.2014;99,74;2,03;,80;100,00;3,94;93,83;-,01;1,40
06.02.2014;71,99;8,59;,00;88,50;11,62;54,67;5,15;,00
07.02.2014;67,22;9,16;,00;77,17;12,46;57,17;5,68;,00
08.02.2014;86,33;5,56;,60;100,00;9,85;62,50;2,68;3,00
