Tag;AVG_RH200;AVG_TA200;MAX_NN050;MAX_RH200;MAX_TA200;MIN_RH200;MIN_TA200;SUM_NN050;SUM_SOH
01.01.2014;79,83;4,41;,00;93,50;10,05;65,67;-,29;,00;5,25
02.01.2014;90,56;4,98;1,60;95,33;7,69;82,83;2,55;2,80;,00
03.01.2014;89,00;6,18;,00;99,33;9,67;80,50;2,98;,00;,77
04.01.2014;94,14;5,82;,50;100,00;8,03;83,67;3,79;2,00;,00
05.01.2014;89,02;4,39;,30;98,00;7,14;71,17;1,34;,50;1,52
06.01.2014;81,96;4,66;,00;95,50;9,59;62,00;-,08;,00;4,14
07.01.2014;70,54;9,79;,00;76,83;12,42;62,00;7,02;,00;,53
08.01.2014;80,00;9,79;,00;92,67;14,38;67,00;7,24;,00;4,65
09.01.2014;73,05;9,57;,90;99,50;15,63;39,00;5,15;2,30;3,93
10.01.2014;89,78;4,59;,90;100,00;9,31;62,50;1,20;1,80;3,59
11.01.2014;98,45;3,36;2,70;100,00;7,05;93,33;-,32;2,90;,00
12.01.2014;98,70;2,72;,00;100,00;6,46;88,00;,72;,00;2,46
13.01.2014;96,69;4,08;2,10;100,00;7,32;87,17;,38;3,00;3,87
14.01.2014;99,99;4,07;,60;100,00;5,13;99,83;2,32;2,20;,00
15.01.2014;87,57;3,14;,10;100,00;6,04;70,67;,45;,10;7,02
16.01.2014;90,45;5,06;2,10;99,83;8,02;74,33;3,11;6,90;,00
17.01.2014;91,94;4,80;,00;100,00;7,84;81,00;1,47;,00;,78
18.01.2014;98,53;,72;,10;100,00;4,83;90,67;-2,45;,10;3,97
19.01.2014;99,38;1,04;,00;100,00;3,02;96,33;-,57;,00;1,38
20.01.2014;99,35;2,37;,10;100,00;3,83;96,67;1,16;,20;,00
21.01.2014;97,01;3,64;,10;100,00;4,46;92,17;3,07;,10;,00
22.01.2014;93,73;3,58;,00;100,00;4,63;80,67;2,75;,00;,00
23.01.2014;89,93;3,13;,10;98,50;3,98;80,67;2,29;,10;,00
24.01.2014;91,62;2,19;,10;99,50;3,45;80,17;1,23;,10;,24
25.01.2014;89,85;1,96;,00;97,83;3,72;80,17;1,13;,00;,00
26.01.2014;80,08;3,17;,30;99,33;4,75;67,17;,75;,40;1,81
27.01.2014;92,72;2,66;,90;100,00;4,82;81,50;,61;3,00;3,71
28.01.2014;80,93;2,27;,10;94,00;6,90;55,00;-,59;,10;8,72
29.01.2014;86,00;-,33;,00;94,17;2,60;72,00;-1,89;,00;4,64
30.01.2014;88,35;-,19;,00;98,33;2,91;78,17;-2,62;,00;2,88
31.01.2014;90,22;,40;,00;99,83;6,63;69,00;-2,96;,00;5,42
01.02.2014;85,58;2,92;,80;100,00;9,31;49,50;-2,30;1,80;5,03
02.02.2014;97,58;2,72;,70;100,00;5,79;88,50;,63;5,20;2,23
03.02.2014;96,52;1,60;,00;100,00;2,96;91,17;-,02;,00;,00
04.02.2014;95,94;2,28;,00;100,00;5,51;84,83;,27;,00;,00
05.02.2014;95,42;1,04;,10;100,00;5,17;84,33;-3,02;,10;,00
06.02.2014;68,77;6,95;,00;88,50;10,58;47,83;3,23;,00;5,85
07.02.2014;71,69;6,67;,10;86,33;8,85;51,17;4,19;,10;,00
08.02.2014;82,91;4,58;,60;89,67;7,89;64,83;2,13;1,60;,28
09.02.2014;69,23;4,98;,10;88,00;7,80;56,17;3,02;,10;4,85
10.02.2014;75,41;3,41;,30;92,83;5,08;47,17;-,35;,30;,00
11.02.2014;79,23;4,25;,10;95,00;8,24;53,50;,30;,10;5,94
12.02.2014;74,83;4,26;,00;93,83;9,30;48,67;-,06;,00;8,30
13.02.2014;85,17;5,30;2,00;95,33;7,94;60,50;1,90;6,80;,00
14.02.2014;78,08;4,51;,00;94,33;7,31;62,33;1,76;,00;3,41
15.02.2014;88,91;6,66;2,40;100,00;10,19;72,33;4,30;5,50;,00
16.02.2014;87,38;4,96;,50;98,17;7,51;75,67;3,23;1,10;,00
17.02.2014;77,46;5,83;,00;99,00;11,58;46,17;1,56;,00;10,29
18.02.2014;82,13;4,53;,00;99,17;10,59;61,17;-,64;,00;4,63
19.02.2014;77,90;6,39;,00;92,50;8,81;67,83;5,00;,00;,00
20.02.2014;76,06;7,36;,00;98,00;12,14;50,83;3,80;,00;9,67
21.02.2014;89,18;5,87;,10;96,67;8,45;72,00;2,15;,70;,19
22.02.2014;82,06;4,14;,10;99,00;9,65;51,50;-,12;,20;7,12
23.02.2014;80,06;6,01;,00;99,17;11,59;55,50;2,83;,00;9,35
24.02.2014;66,95;5,54;,00;100,00;13,98;27,17;-1,72;,00;10,76
25.02.2014;64,00;7,17;,00;86,50;13,33;41,50;1,16;,00;6,73
26.02.2014;84,31;7,06;3,90;100,00;12,14;62,17;4,73;7,40;2,99
27.02.2014;87,26;5,11;2,20;100,00;8,94;61,50;2,03;4,50;4,46
28.02.2014;81,67;5,72;1,30;100,00;10,58;55,00;1,74;2,00;5,82
