"Date","DAE","treatment","female"
"05 Apr 2014",-1,"Ca",5
"10 Apr 2014",4,"Ca",43
"13 Apr 2014",7,"Ca",41
"19 Apr 2014",13,"Ca",47
"25 Apr 2014",19,"Ca",17
"01 May 2014",25,"Ca",17
"04 May 2014",28,"Ca",19
"10 May 2014",34,"Ca",12
"16 May 2014",40,"Ca",12
"22 May 2014",46,"Ca",9
"28 May 2014",52,"Ca",4
"05 Apr 2014",-1,"Cb",2
"10 Apr 2014",4,"Cb",40
"13 Apr 2014",7,"Cb",46
"19 Apr 2014",13,"Cb",63
"25 Apr 2014",19,"Cb",73
"01 May 2014",25,"Cb",72
"04 May 2014",28,"Cb",65
"10 May 2014",34,"Cb",52
"16 May 2014",40,"Cb",42
"22 May 2014",46,"Cb",17
"28 May 2014",52,"Cb",9
"05 Apr 2014",-1,"Cc",4
"10 Apr 2014",4,"Cc",23
"13 Apr 2014",7,"Cc",27
"19 Apr 2014",13,"Cc",36
"25 Apr 2014",19,"Cc",40
"01 May 2014",25,"Cc",69
"04 May 2014",28,"Cc",76
"10 May 2014",34,"Cc",82
"16 May 2014",40,"Cc",89
"22 May 2014",46,"Cc",41
"28 May 2014",52,"Cc",14
"05 Apr 2014",-1,"Cd",6
"10 Apr 2014",4,"Cd",17
"13 Apr 2014",7,"Cd",22
"19 Apr 2014",13,"Cd",16
"25 Apr 2014",19,"Cd",21
"01 May 2014",25,"Cd",16
"04 May 2014",28,"Cd",14
"10 May 2014",34,"Cd",20
"16 May 2014",40,"Cd",17
"22 May 2014",46,"Cd",7
"28 May 2014",52,"Cd",4
"05 Apr 2014",-1,"Ce",5
"10 Apr 2014",4,"Ce",31
"13 Apr 2014",7,"Ce",42
"19 Apr 2014",13,"Ce",31
"25 Apr 2014",19,"Ce",48
"01 May 2014",25,"Ce",33
"04 May 2014",28,"Ce",35
"10 May 2014",34,"Ce",45
"16 May 2014",40,"Ce",37
"22 May 2014",46,"Ce",23
"28 May 2014",52,"Ce",5
"05 Apr 2014",-1,"Cf",3
"10 Apr 2014",4,"Cf",36
"13 Apr 2014",7,"Cf",74
"19 Apr 2014",13,"Cf",78
"25 Apr 2014",19,"Cf",148
"01 May 2014",25,"Cf",149
"04 May 2014",28,"Cf",143
"10 May 2014",34,"Cf",89
"16 May 2014",40,"Cf",43
"22 May 2014",46,"Cf",5
"28 May 2014",52,"Cf",2
"05 Apr 2014",-1,"Cg",3
"10 Apr 2014",4,"Cg",23
"13 Apr 2014",7,"Cg",45
"19 Apr 2014",13,"Cg",55
"25 Apr 2014",19,"Cg",98
"01 May 2014",25,"Cg",93
"04 May 2014",28,"Cg",86
"10 May 2014",34,"Cg",80
"16 May 2014",40,"Cg",74
"22 May 2014",46,"Cg",35
"28 May 2014",52,"Cg",16
"05 Apr 2014",-1,"Ch",6
"10 Apr 2014",4,"Ch",32
"13 Apr 2014",7,"Ch",51
"19 Apr 2014",13,"Ch",45
"25 Apr 2014",19,"Ch",95
"01 May 2014",25,"Ch",67
"04 May 2014",28,"Ch",79
"10 May 2014",34,"Ch",65
"16 May 2014",40,"Ch",58
"22 May 2014",46,"Ch",19
"28 May 2014",52,"Ch",13
