Tag;AVG_RH200;AVG_TA200;MAX_NN050;MAX_RH200;MAX_TA200;MIN_RH200;MIN_TA200;SUM_NN050;SUM_SOH
01.01.2014;85,95;6,10;,00;99,83;11,49;70,67;1,79;,00;3,21
02.01.2014;92,01;7,38;2,80;100,00;9,81;84,50;3,21;5,90;,00
03.01.2014;89,25;7,90;,00;100,00;11,43;77,17;2,90;,00;,00
04.01.2014;97,87;6,31;1,70;100,00;9,21;88,67;3,46;5,90;,00
05.01.2014;90,15;5,45;,10;100,00;8,83;69,33;2,11;,10;4,30
06.01.2014;80,88;6,36;,00;97,33;10,65;67,83;,47;,00;1,91
07.01.2014;69,96;11,63;,00;82,50;14,62;63,17;8,96;,00;,48
08.01.2014;83,61;10,61;,00;99,50;14,93;70,67;6,56;,00;1,93
09.01.2014;72,66;10,93;,10;96,17;14,55;54,33;7,16;,10;2,55
10.01.2014;89,20;6,62;,70;100,00;11,00;65,83;3,52;,80;4,77
11.01.2014;96,72;4,79;,60;100,00;9,42;88,67;,10;,60;,00
12.01.2014;99,22;3,55;,00;100,00;6,72;92,33;-,29;,00;2,26
13.01.2014;99,28;3,23;1,80;100,00;6,59;94,83;-1,28;3,80;,00
14.01.2014;98,17;4,79;,30;100,00;7,67;89,00;2,05;,90;,00
15.01.2014;86,60;4,19;,10;100,00;6,75;70,67;,04;,10;3,30
16.01.2014;93,29;5,76;2,20;100,00;8,18;79,67;1,86;7,20;,00
17.01.2014;92,65;4,69;,00;100,00;9,93;72,67;-1,30;,00;1,43
18.01.2014;97,13;1,08;,10;100,00;7,73;78,50;-2,06;,10;3,93
19.01.2014;100,00;2,30;,00;100,00;3,30;100,00;1,30;,00;,00
20.01.2014;99,80;3,77;,30;100,00;4,80;98,17;2,81;1,00;,00
21.01.2014;98,22;4,76;,00;100,00;6,55;89,67;3,77;,00;,00
22.01.2014;92,76;4,39;,00;100,00;6,31;78,33;3,26;,00;,00
23.01.2014;96,51;3,47;,10;100,00;5,44;91,67;,26;,30;,00
24.01.2014;92,56;2,13;,40;100,00;5,53;68,67;-3,06;,70;,55
25.01.2014;90,09;,15;,10;100,00;4,69;76,33;-5,45;,10;5,00
26.01.2014;80,56;4,99;1,60;93,17;6,35;68,67;2,44;1,80;,86
27.01.2014;84,43;5,33;,50;100,00;7,12;66,83;3,90;1,50;2,91
28.01.2014;79,38;2,98;,00;100,00;8,29;52,33;-2,98;,00;5,69
29.01.2014;96,33;-1,43;,00;100,00;2,41;83,17;-4,74;,00;2,10
30.01.2014;95,31;,81;,00;100,00;3,11;89,33;-1,44;,00;1,27
31.01.2014;92,75;,85;,00;100,00;6,84;74,67;-3,13;,00;4,67
01.02.2014;91,17;3,34;,80;100,00;8,24;65,67;-1,84;2,30;,00
02.02.2014;96,29;3,99;,30;100,00;8,12;76,83;-,74;1,60;1,01
03.02.2014;97,89;1,17;,00;100,00;6,08;84,50;-1,48;,00;1,33
04.02.2014;94,49;3,30;,00;100,00;8,26;80,50;-1,43;,00;,00
05.02.2014;94,44;2,72;,50;100,00;6,84;78,67;-2,56;,80;,00
06.02.2014;71,57;7,99;,00;91,67;12,57;48,50;2,85;,00;5,78
07.02.2014;82,53;7,35;,30;94,50;9,83;67,50;2,28;,60;,00
08.02.2014;83,01;5,98;1,20;98,33;9,32;60,50;3,10;2,50;,00
09.02.2014;71,87;5,97;,00;86,00;9,03;56,00;,38;,00;3,53
10.02.2014;88,89;3,23;,30;99,50;6,09;80,33;-1,06;,80;,00
11.02.2014;87,38;4,62;,10;100,00;8,95;63,83;-1,13;,10;6,00
12.02.2014;81,68;5,23;,00;98,17;9,22;59,00;,86;,00;6,41
13.02.2014;85,34;6,94;3,50;97,00;10,38;59,50;3,72;10,30;,00
14.02.2014;80,52;6,28;,00;94,00;9,46;59,83;3,23;,00;,91
15.02.2014;92,58;7,71;3,50;100,00;11,22;78,83;5,23;24,70;,00
16.02.2014;86,85;6,27;,00;100,00;9,38;73,67;,61;,00;1,57
17.02.2014;83,90;4,78;,00;100,00;12,67;44,33;-,91;,00;7,16
18.02.2014;88,26;4,41;,00;100,00;12,07;60,00;-1,11;,00;5,23
19.02.2014;84,62;7,66;,30;96,83;11,80;65,17;4,20;,60;1,55
20.02.2014;81,55;8,38;,30;100,00;13,03;53,83;2,84;,40;7,37
21.02.2014;85,26;7,43;,40;100,00;11,16;54,67;,66;,60;1,71
22.02.2014;85,75;5,42;1,20;99,00;9,09;63,67;1,92;1,70;2,51
23.02.2014;86,34;6,10;,00;100,00;13,37;52,33;-,32;,00;7,52
24.02.2014;81,43;4,81;,00;100,00;15,42;43,83;-3,01;,00;7,84
25.02.2014;66,07;9,00;,00;86,67;13,81;45,33;3,34;,00;4,30
26.02.2014;94,51;6,93;2,90;100,00;8,50;78,50;4,31;6,90;,00
27.02.2014;85,17;6,68;,10;100,00;10,35;60,33;3,65;,20;5,35
28.02.2014;81,31;7,04;,40;91,33;12,22;50,83;4,16;,40;3,98
01.03.2014;86,44;5,30;,00;100,00;9,01;69,50;1,70;,00;4,23
02.03.2014;83,40;5,65;,00;100,00;11,03;54,83;,74;,00;5,84
03.03.2014;86,28;4,55;,10;100,00;8,80;68,50;,05;,10;2,19
