Osmia 2015 weather (Ruddle et al. 2018),,,,,,
Study year: 2015,,,,,,
Location: Germany - Niefern,,,,,,
,,,,,,
,,Control field site,,,,
Date,DOY,Mean air temp. ,Max. air temp. ,Min. air temp ,Pre-cipitation ,Relative air humidity 
2015-04-21,111,11.9,21.1,2.1,0,61.8
2015-04-22,112,10.6,17.3,3,0,61.6
2015-04-23,113,8.1,15.4,-0.7,0,67.9
2015-04-24,114,12,19.8,4.4,0,56.2
2015-04-25,115,11.3,17.9,5.3,5.6,79.8
2015-04-26,116,14.8,20.7,9.6,0.6,84.6
2015-04-27,117,13.7,18.7,7.8,5,87.7
2015-04-28,118,7.8,12.1,3.6,4.2,83.7
2015-04-29,119,8.7,15.9,-0.5,0,72.8
2015-04-30,120,10.8,15.8,6.7,0,66.7
2015-05-01,121,8.5,10.1,7.4,15.4,98.9
2015-05-02,122,10.5,14.1,7.4,1.2,91.4
2015-05-03,123,14,17.5,10.5,10.8,98.5
2015-05-04,124,18.1,24.1,12.4,0,81
2015-05-05,125,19.3,23.3,14.8,0,65.9
2015-05-06,126,14.3,18.3,10.9,0,69
2015-05-07,127,12.1,17.2,5.8,0,69.3
2015-05-08,128,14.7,21.9,5.6,0,68.6
2015-05-09,129,15.5,19.6,10.4,0.2,74.4
2015-05-10,130,14.9,21.1,8.6,0,71.7
2015-05-11,131,17.1,26.2,8.4,0,70.6
2015-05-12,132,19.7,27.8,9.7,0,71.7
2015-05-13,133,16.6,22.2,8.6,1.6,71.1
2015-05-14,134,14.2,19.2,9.1,0.4,84.3
2015-05-15,135,11.5,18.1,8.2,7,95.8
2015-05-16,136,12.7,19.2,4.9,0,83.4
2015-05-17,137,13.9,18.9,7.5,0.2,83
2015-05-18,138,14,22.1,4.4,0,75.4
2015-05-19,139,12.2,15.3,7.3,0,74.6
2015-05-20,140,9.3,14.1,6.3,1,84
2015-05-21,141,10.1,17.1,2.6,0,74.4
2015-05-22,142,10.7,19.4,0.4,0,68.5
2015-05-23,143,12.1,19.3,2.7,0,74
2015-05-24,144,15.1,21.8,10.1,0,79.3
2015-05-25,145,14.9,20.8,10.4,0.6,80.2
2015-05-26,146,11.7,14.6,8.2,0,82.9
2015-05-27,147,10.3,16,3.9,0,78.5
2015-05-28,148,13,21.2,2.8,0,70.6
2015-05-29,149,14.5,20.2,9.7,0.8,86.2
2015-05-30,150,12.6,17.1,7.3,4.6,87.1
2015-05-31,151,14.8,22,5.8,0,76.5
2015-06-01,152,15,19,10.9,0,85.2
2015-06-02,153,17.5,25.2,8.3,0,72
2015-06-03,154,19.2,24.9,11.1,0,68.7
2015-06-04,155,18.8,27.6,8.4,0,73.9
2015-06-05,156,23.4,31.8,12.9,0,64.9
2015-06-06,157,23.7,30.1,17.9,0,71.7
2015-06-07,158,20.9,26.3,15,0,71.9
2015-06-08,159,14.6,18.1,12.4,29.4,86.1
2015-06-09,160,16.3,23.6,11.8,0.8,68.7
