"Date","DAE","treatment","female"
"27 Apr 2015",6,"Ca",4
"30 Apr 2015",9,"Ca",19
"03 May 2015",12,"Ca",23
"06 May 2015",15,"Ca",41
"09 May 2015",18,"Ca",15
"12 May 2015",21,"Ca",38
"15 May 2015",24,"Ca",23
"18 May 2015",27,"Ca",8
"21 May 2015",30,"Ca",8
"24 May 2015",33,"Ca",6
"27 Apr 2015",6,"Cb",0
"30 Apr 2015",9,"Cb",12
"03 May 2015",12,"Cb",14
"06 May 2015",15,"Cb",34
"09 May 2015",18,"Cb",28
"12 May 2015",21,"Cb",57
"15 May 2015",24,"Cb",33
"18 May 2015",27,"Cb",14
"21 May 2015",30,"Cb",7
"24 May 2015",33,"Cb",2
"27 Apr 2015",6,"Cc",5
"30 Apr 2015",9,"Cc",14
"03 May 2015",12,"Cc",25
"06 May 2015",15,"Cc",48
"09 May 2015",18,"Cc",26
"12 May 2015",21,"Cc",53
"15 May 2015",24,"Cc",24
"18 May 2015",27,"Cc",7
"21 May 2015",30,"Cc",3
"24 May 2015",33,"Cc",3
"27 Apr 2015",6,"Cd",2
"30 Apr 2015",9,"Cd",15
"03 May 2015",12,"Cd",10
"06 May 2015",15,"Cd",23
"09 May 2015",18,"Cd",16
"12 May 2015",21,"Cd",17
"15 May 2015",24,"Cd",37
"18 May 2015",27,"Cd",61
"21 May 2015",30,"Cd",62
"24 May 2015",33,"Cd",66
"27 Apr 2015",6,"Ce",2
"30 Apr 2015",9,"Ce",15
"03 May 2015",12,"Ce",16
"06 May 2015",15,"Ce",14
"09 May 2015",18,"Ce",14
"12 May 2015",21,"Ce",22
"15 May 2015",24,"Ce",52
"18 May 2015",27,"Ce",63
"21 May 2015",30,"Ce",51
"24 May 2015",33,"Ce",41
"27 Apr 2015",6,"Cf",0
"30 Apr 2015",9,"Cf",11
"03 May 2015",12,"Cf",10
"06 May 2015",15,"Cf",21
"09 May 2015",18,"Cf",10
"12 May 2015",21,"Cf",12
"15 May 2015",24,"Cf",33
"18 May 2015",27,"Cf",54
"21 May 2015",30,"Cf",56
"24 May 2015",33,"Cf",68
"27 Apr 2015",6,"Cg",3
"30 Apr 2015",9,"Cg",23
"03 May 2015",12,"Cg",9
"06 May 2015",15,"Cg",25
"09 May 2015",18,"Cg",5
"12 May 2015",21,"Cg",13
"15 May 2015",24,"Cg",35
"18 May 2015",27,"Cg",56
"21 May 2015",30,"Cg",66
"24 May 2015",33,"Cg",72
"27 Apr 2015",6,"Ch",2
"30 Apr 2015",9,"Ch",15
"03 May 2015",12,"Ch",10
"06 May 2015",15,"Ch",40
"09 May 2015",18,"Ch",20
"12 May 2015",21,"Ch",42
"15 May 2015",24,"Ch",54
"18 May 2015",27,"Ch",37
"21 May 2015",30,"Ch",28
"24 May 2015",33,"Ch",14
