Tag;AVG_RH200;AVG_TA200;MAX_GS200;MAX_RH200;MAX_TA200;MIN_RH200;MIN_TA200;SUM_GS200;SUM_NN050;SUM_SOH
01.01.2015;99,26;,26;99,48;100,00;1,54;95,50;-,45;437,18;2,70;,00
02.01.2015;98,71;,81;72,63;100,00;3,52;86,83;-2,73;243,95;2,30;,00
03.01.2015;99,83;2,33;55,70;100,00;9,30;97,83;,94;173,34;16,40;,00
04.01.2015;94,05;1,62;243,08;100,00;3,73;85,50;,55;1000,50;,00;3,02
05.01.2015;87,26;,51;263,12;98,50;6,06;62,17;-2,51;1380,04;,00;5,62
06.01.2015;93,58;-1,64;245,72;100,00;2,19;81,17;-5,01;1201,94;,20;4,31
07.01.2015;97,61;,60;144,48;100,00;2,06;88,00;-2,19;500,46;1,50;,00
08.01.2015;92,97;4,57;56,90;100,00;9,70;77,17;-1,93;295,80;4,30;,00
09.01.2015;86,08;8,02;102,88;96,33;10,60;69,50;5,87;435,41;4,40;,00
10.01.2015;87,76;11,95;194,62;97,67;13,44;79,50;8,00;635,58;7,60;,21
11.01.2015;87,98;3,82;237,42;99,33;7,32;77,50;1,73;734,72;8,50;,83
12.01.2015;68,51;5,30;101,80;81,33;6,40;50,00;4,08;511,38;,00;,00
13.01.2015;53,26;9,07;270,88;80,33;14,81;37,17;2,45;1441,76;,30;5,38
14.01.2015;85,84;5,45;203,67;98,33;7,60;70,83;2,58;618,66;6,00;,00
15.01.2015;81,21;6,08;114,60;95,33;10,37;62,67;1,71;598,45;,00;,00
16.01.2015;94,74;5,42;41,47;100,00;10,99;63,17;3,62;215,16;11,10;,00
17.01.2015;99,94;2,35;88,65;100,00;3,72;99,50;,80;345,09;5,00;,00
18.01.2015;98,53;-1,36;143,17;100,00;,36;93,00;-3,57;924,20;,20;1,62
19.01.2015;98,36;-1,79;115,23;100,00;-,37;94,33;-4,02;622,33;,00;,00
20.01.2015;100,00;-1,30;31,15;100,00;-,28;100,00;-3,12;159,01;,00;,00
21.01.2015;98,21;-1,04;73,63;100,00;,41;92,33;-3,93;332,21;1,00;,00
22.01.2015;96,20;-,31;46,95;100,00;,26;92,00;-1,00;183,99;,10;,00
23.01.2015;100,00;-,52;37,62;100,00;-,08;100,00;-,87;147,96;,30;,00
24.01.2015;97,00;-,63;116,47;100,00;,66;87,83;-1,21;510,74;,20;,00
25.01.2015;98,15;,00;129,67;100,00;1,29;94,00;-,58;721,94;1,60;,00
26.01.2015;99,91;,08;80,00;100,00;1,23;98,67;-,77;352,64;6,10;,00
27.01.2015;97,83;1,25;218,68;100,00;2,56;90,33;,08;939,92;,50;1,01
28.01.2015;89,82;2,69;149,80;100,00;4,65;76,83;,71;643,52;2,10;,00
29.01.2015;90,47;1,90;150,13;100,00;3,64;75,33;,46;730,37;3,80;,00
30.01.2015;94,35;,33;279,08;100,00;2,38;79,83;-1,52;1249,89;2,70;2,50
31.01.2015;95,42;-,16;177,68;100,00;2,34;81,83;-1,60;706,39;3,40;,00
01.02.2015;97,09;-,22;297,72;100,00;,70;84,83;-1,95;956,88;2,60;,85
02.02.2015;95,94;-,81;257,15;100,00;,59;84,67;-3,59;877,33;4,20;,35
03.02.2015;86,24;-3,15;346,45;99,83;2,35;61,50;-7,65;1868,37;,20;5,38
04.02.2015;94,62;-3,79;127,63;100,00;-1,80;87,17;-7,11;716,66;,00;,00
05.02.2015;77,84;-2,33;307,17;86,00;-1,35;66,00;-3,26;1079,69;,00;1,15
06.02.2015;77,65;-2,83;230,50;84,67;,00;63,67;-4,62;1180,58;,00;1,57
07.02.2015;81,33;-4,55;358,60;89,67;-,62;67,33;-7,50;2059,28;,00;5,80
08.02.2015;78,92;-,63;233,62;98,50;2,26;48,67;-3,35;1273,97;,30;1,85
09.02.2015;90,34;-,34;209,60;98,33;1,24;77,00;-1,99;1000,42;,00;,44
10.02.2015;96,60;1,42;98,15;100,00;3,33;89,83;,26;613,56;,30;,00
11.02.2015;90,32;1,23;378,32;99,00;4,57;79,50;-1,54;1921,90;,00;4,62
12.02.2015;92,91;-,25;381,52;100,00;5,71;73,17;-3,80;2260,39;,10;6,07
13.02.2015;92,04;-,20;344,68;100,00;4,99;76,83;-4,49;1903,50;,10;4,29
14.02.2015;88,32;1,53;325,73;95,50;6,47;75,50;-1,03;1511,73;,00;2,38
15.02.2015;96,22;-1,93;119,55;100,00;-,46;92,67;-3,82;733,34;,00;,00
16.02.2015;96,56;-1,41;97,23;100,00;-,69;93,17;-2,53;616,23;,00;,00
17.02.2015;98,58;-1,06;59,63;100,00;-,06;95,50;-2,19;325,36;,00;,00
18.02.2015;94,45;-,28;92,45;99,33;,03;90,00;-,83;515,29;,00;,00
19.02.2015;91,93;-1,31;170,08;99,83;1,54;81,17;-4,14;851,53;,00;,00
20.02.2015;76,71;2,78;436,83;100,00;12,87;42,67;-4,94;2622,42;,10;6,55
21.02.2015;81,81;3,96;210,95;95,67;6,87;57,50;1,50;967,03;2,50;,00
22.02.2015;91,27;2,03;283,97;98,00;4,48;82,17;-,23;1517,28;,00;1,64
23.02.2015;93,88;1,99;105,97;99,50;5,54;86,67;-1,83;641,28;4,40;,00
24.02.2015;84,11;3,46;245,93;95,17;5,57;69,17;1,82;1242,08;,30;,33
