date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-04-26T00:00:00Z,Csa,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,3,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,4,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,5,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,8,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,9,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,3,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,4,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,5,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,8,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,9,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,2,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csa,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csa,2,0,1,0,0,0,0,0,0,0,0,1
2015-05-05T00:00:00Z,Csa,3,1,0,1,1,0,0,0,0,0,0,3
2015-05-05T00:00:00Z,Csa,4,0,0,0,2,0,0,0,0,0,2,4
2015-05-05T00:00:00Z,Csa,5,0,0,0,0,0,0,1,0,0,0,1
2015-05-05T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,1,1
2015-05-05T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,1,1
2015-05-05T00:00:00Z,Csa,8,1,0,0,0,0,0,0,0,0,0,1
2015-05-05T00:00:00Z,Csa,9,1,1,0,0,0,0,0,0,0,0,2
2015-05-05T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csa,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,Csa,2,3,1,0,0,0,0,0,0,2,0,6
2015-05-08T00:00:00Z,Csa,3,1,0,1,3,1,0,0,0,2,1,9
2015-05-08T00:00:00Z,Csa,4,0,0,1,2,0,2,0,0,0,2,7
2015-05-08T00:00:00Z,Csa,5,0,0,0,0,1,1,1,0,0,0,3
2015-05-08T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,1,1
2015-05-08T00:00:00Z,Csa,7,0,0,0,0,2,0,0,1,0,1,4
2015-05-08T00:00:00Z,Csa,8,2,0,0,0,1,0,0,0,0,0,3
2015-05-08T00:00:00Z,Csa,9,2,0,0,0,0,0,1,0,0,0,3
2015-05-08T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-11T00:00:00Z,Csa,1,0,0,4,0,0,0,0,0,0,0,4
2015-05-11T00:00:00Z,Csa,2,6,0,1,1,2,0,2,1,0,1,14
2015-05-11T00:00:00Z,Csa,3,4,4,5,3,0,0,7,0,2,4,29
2015-05-11T00:00:00Z,Csa,4,0,3,5,1,2,6,0,3,3,1,24
2015-05-11T00:00:00Z,Csa,5,0,0,0,1,1,2,2,2,0,0,8
2015-05-11T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,1,1
2015-05-11T00:00:00Z,Csa,7,2,4,6,1,2,0,1,6,0,1,23
2015-05-11T00:00:00Z,Csa,8,0,3,0,2,1,0,0,6,2,3,17
2015-05-11T00:00:00Z,Csa,9,3,5,0,0,0,0,0,0,0,5,13
2015-05-11T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-14T00:00:00Z,Csa,1,0,0,3,0,0,2,0,0,0,5,10
2015-05-14T00:00:00Z,Csa,2,0,0,0,2,6,0,0,0,0,1,9
