date,treatment,tray,female,male
2015-04-29T00:00:00Z,Csa,1,2,1
2015-04-29T00:00:00Z,Csa,2,1,1
2015-04-29T00:00:00Z,Csa,3,0,0
2015-04-29T00:00:00Z,Csa,4,0,0
2015-04-29T00:00:00Z,Csa,5,1,0
2015-04-29T00:00:00Z,Csa,6,0,0
2015-04-29T00:00:00Z,Csa,7,0,5
2015-04-29T00:00:00Z,Csa,8,2,1
2015-04-29T00:00:00Z,Csa,9,1,3
2015-04-29T00:00:00Z,Csa,10,3,2
2015-05-02T00:00:00Z,Csa,1,4,2
2015-05-02T00:00:00Z,Csa,2,3,0
2015-05-02T00:00:00Z,Csa,3,1,0
2015-05-02T00:00:00Z,Csa,4,1,0
2015-05-02T00:00:00Z,Csa,5,1,4
2015-05-02T00:00:00Z,Csa,6,1,1
2015-05-02T00:00:00Z,Csa,7,1,0
2015-05-02T00:00:00Z,Csa,8,0,2
2015-05-02T00:00:00Z,Csa,9,2,3
2015-05-02T00:00:00Z,Csa,10,5,0
2015-05-05T00:00:00Z,Csa,1,0,2
2015-05-05T00:00:00Z,Csa,2,3,1
2015-05-05T00:00:00Z,Csa,3,4,0
2015-05-05T00:00:00Z,Csa,4,3,0
2015-05-05T00:00:00Z,Csa,5,3,2
2015-05-05T00:00:00Z,Csa,6,1,0
2015-05-05T00:00:00Z,Csa,7,2,1
2015-05-05T00:00:00Z,Csa,8,3,0
2015-05-05T00:00:00Z,Csa,9,0,0
2015-05-05T00:00:00Z,Csa,10,2,2
2015-05-08T00:00:00Z,Csa,1,1,3
2015-05-08T00:00:00Z,Csa,2,4,0
2015-05-08T00:00:00Z,Csa,3,6,0
2015-05-08T00:00:00Z,Csa,4,7,0
2015-05-08T00:00:00Z,Csa,5,7,1
2015-05-08T00:00:00Z,Csa,6,2,0
2015-05-08T00:00:00Z,Csa,7,4,0
2015-05-08T00:00:00Z,Csa,8,9,0
2015-05-08T00:00:00Z,Csa,9,5,0
2015-05-08T00:00:00Z,Csa,10,3,1
2015-05-11T00:00:00Z,Csa,1,2,3
2015-05-11T00:00:00Z,Csa,2,4,0
2015-05-11T00:00:00Z,Csa,3,5,2
2015-05-11T00:00:00Z,Csa,4,6,1
2015-05-11T00:00:00Z,Csa,5,2,1
2015-05-11T00:00:00Z,Csa,6,1,0
2015-05-11T00:00:00Z,Csa,7,6,1
2015-05-11T00:00:00Z,Csa,8,5,0
2015-05-11T00:00:00Z,Csa,9,4,0
2015-05-11T00:00:00Z,Csa,10,3,0
2015-05-14T00:00:00Z,Csa,1,2,1
2015-05-14T00:00:00Z,Csa,2,2,0
2015-05-14T00:00:00Z,Csa,3,2,0
2015-05-14T00:00:00Z,Csa,4,3,0
2015-05-14T00:00:00Z,Csa,5,7,0
2015-05-14T00:00:00Z,Csa,6,0,0
2015-05-14T00:00:00Z,Csa,7,3,0
2015-05-14T00:00:00Z,Csa,8,4,0
2015-05-14T00:00:00Z,Csa,9,3,0
2015-05-14T00:00:00Z,Csa,10,1,1
2015-05-17T00:00:00Z,Csa,1,4,2
2015-05-17T00:00:00Z,Csa,2,3,0
2015-05-17T00:00:00Z,Csa,3,1,0
2015-05-17T00:00:00Z,Csa,4,1,0
2015-05-17T00:00:00Z,Csa,5,2,0
2015-05-17T00:00:00Z,Csa,6,0,2
2015-05-17T00:00:00Z,Csa,7,3,0
2015-05-17T00:00:00Z,Csa,8,4,0
2015-05-17T00:00:00Z,Csa,9,2,0
2015-05-17T00:00:00Z,Csa,10,1,0
2015-05-20T00:00:00Z,Csa,1,2,1
2015-05-20T00:00:00Z,Csa,2,4,0
2015-05-20T00:00:00Z,Csa,3,1,0
2015-05-20T00:00:00Z,Csa,4,2,0
2015-05-20T00:00:00Z,Csa,5,2,0
2015-05-20T00:00:00Z,Csa,6,1,0
2015-05-20T00:00:00Z,Csa,7,0,0
2015-05-20T00:00:00Z,Csa,8,1,0
2015-05-20T00:00:00Z,Csa,9,0,0
2015-05-20T00:00:00Z,Csa,10,5,0
2015-05-23T00:00:00Z,Csa,1,3,0
2015-05-23T00:00:00Z,Csa,2,4,0
2015-05-23T00:00:00Z,Csa,3,2,0
2015-05-23T00:00:00Z,Csa,4,2,0
2015-05-23T00:00:00Z,Csa,5,1,0
2015-05-23T00:00:00Z,Csa,6,2,0
2015-05-23T00:00:00Z,Csa,7,0,0
2015-05-23T00:00:00Z,Csa,8,0,0
2015-05-23T00:00:00Z,Csa,9,0,0
2015-05-23T00:00:00Z,Csa,10,4,0
2015-05-26T00:00:00Z,Csa,1,1,0
2015-05-26T00:00:00Z,Csa,2,4,0
2015-05-26T00:00:00Z,Csa,3,1,0
2015-05-26T00:00:00Z,Csa,4,1,0
2015-05-26T00:00:00Z,Csa,5,3,0
2015-05-26T00:00:00Z,Csa,6,1,0
2015-05-26T00:00:00Z,Csa,7,0,0
2015-05-26T00:00:00Z,Csa,8,0,0
2015-05-26T00:00:00Z,Csa,9,0,0
2015-05-26T00:00:00Z,Csa,10,2,0
2015-04-29T00:00:00Z,Csb,1,1,0
2015-04-29T00:00:00Z,Csb,2,1,0
2015-04-29T00:00:00Z,Csb,3,0,2
2015-04-29T00:00:00Z,Csb,4,0,0
2015-04-29T00:00:00Z,Csb,5,1,1
2015-04-29T00:00:00Z,Csb,6,0,4
2015-04-29T00:00:00Z,Csb,7,0,1
2015-04-29T00:00:00Z,Csb,8,3,1
2015-04-29T00:00:00Z,Csb,9,2,3
2015-04-29T00:00:00Z,Csb,10,1,3
2015-05-02T00:00:00Z,Csb,1,4,1
2015-05-02T00:00:00Z,Csb,2,2,0
2015-05-02T00:00:00Z,Csb,3,3,2
2015-05-02T00:00:00Z,Csb,4,2,1
2015-05-02T00:00:00Z,Csb,5,2,1
2015-05-02T00:00:00Z,Csb,6,0,6
2015-05-02T00:00:00Z,Csb,7,1,2
2015-05-02T00:00:00Z,Csb,8,0,0
2015-05-02T00:00:00Z,Csb,9,1,3
2015-05-02T00:00:00Z,Csb,10,2,1
2015-05-05T00:00:00Z,Csb,1,6,0
2015-05-05T00:00:00Z,Csb,2,3,1
2015-05-05T00:00:00Z,Csb,3,3,1
2015-05-05T00:00:00Z,Csb,4,3,0
2015-05-05T00:00:00Z,Csb,5,1,0
2015-05-05T00:00:00Z,Csb,6,1,4
