"Date","DAE","treatment","sum.cells"
"26 Apr 2015",3,"Ca",0
"29 Apr 2015",6,"Ca",3
"02 May 2015",9,"Ca",7
"05 May 2015",12,"Ca",68
"08 May 2015",15,"Ca",140
"11 May 2015",18,"Ca",376
"14 May 2015",21,"Ca",598
"17 May 2015",24,"Ca",658
"20 May 2015",27,"Ca",733
"23 May 2015",30,"Ca",768
"26 May 2015",33,"Ca",794
"29 May 2015",36,"Ca",822
"26 Apr 2015",3,"Cb",1
"29 Apr 2015",6,"Cb",7
"02 May 2015",9,"Cb",15
"05 May 2015",12,"Cb",54
"08 May 2015",15,"Cb",86
"11 May 2015",18,"Cb",208
"14 May 2015",21,"Cb",366
"17 May 2015",24,"Cb",436
"20 May 2015",27,"Cb",560
"23 May 2015",30,"Cb",634
"26 May 2015",33,"Cb",714
"29 May 2015",36,"Cb",789
"26 Apr 2015",3,"Cc",0
"29 Apr 2015",6,"Cc",2
"02 May 2015",9,"Cc",5
"05 May 2015",12,"Cc",37
"08 May 2015",15,"Cc",96
"11 May 2015",18,"Cc",310
"14 May 2015",21,"Cc",547
"17 May 2015",24,"Cc",654
"20 May 2015",27,"Cc",774
"23 May 2015",30,"Cc",816
"26 May 2015",33,"Cc",851
"29 May 2015",36,"Cc",871
"26 Apr 2015",3,"Cd",2
"29 Apr 2015",6,"Cd",14
"02 May 2015",9,"Cd",29
"05 May 2015",12,"Cd",72
"08 May 2015",15,"Cd",141
"11 May 2015",18,"Cd",406
"14 May 2015",21,"Cd",713
"17 May 2015",24,"Cd",780
"20 May 2015",27,"Cd",855
"23 May 2015",30,"Cd",867
"26 May 2015",33,"Cd",872
"29 May 2015",36,"Cd",875
"26 Apr 2015",3,"Ce",1
"29 Apr 2015",6,"Ce",4
"02 May 2015",9,"Ce",9
"05 May 2015",12,"Ce",43
"08 May 2015",15,"Ce",110
"11 May 2015",18,"Ce",291
"14 May 2015",21,"Ce",511
"17 May 2015",24,"Ce",606
"20 May 2015",27,"Ce",705
"23 May 2015",30,"Ce",752
"26 May 2015",33,"Ce",780
"29 May 2015",36,"Ce",811
"26 Apr 2015",3,"Cf",2
"29 Apr 2015",6,"Cf",16
"02 May 2015",9,"Cf",26
"05 May 2015",12,"Cf",126
"08 May 2015",15,"Cf",282
"11 May 2015",18,"Cf",618
"14 May 2015",21,"Cf",820
"17 May 2015",24,"Cf",846
"20 May 2015",27,"Cf",863
"23 May 2015",30,"Cf",870
"26 May 2015",33,"Cf",874
"29 May 2015",36,"Cf",874
"26 Apr 2015",3,"Cg",1
"29 Apr 2015",6,"Cg",2
"02 May 2015",9,"Cg",10
"05 May 2015",12,"Cg",42
"08 May 2015",15,"Cg",106
"11 May 2015",18,"Cg",262
"14 May 2015",21,"Cg",387
"17 May 2015",24,"Cg",462
"20 May 2015",27,"Cg",569
"23 May 2015",30,"Cg",631
"26 May 2015",33,"Cg",676
"29 May 2015",36,"Cg",732
"26 Apr 2015",3,"Ch",1
"29 Apr 2015",6,"Ch",3
"02 May 2015",9,"Ch",15
"05 May 2015",12,"Ch",75
"08 May 2015",15,"Ch",157
"11 May 2015",18,"Ch",376
"14 May 2015",21,"Ch",601
"17 May 2015",24,"Ch",645
"20 May 2015",27,"Ch",692
"23 May 2015",30,"Ch",712
"26 May 2015",33,"Ch",737
"29 May 2015",36,"Ch",755
