Tag;AVG_RH200;AVG_TA200;MAX_GS200;MAX_RH200;MAX_TA200;MIN_RH200;MIN_TA200;SUM_GS200;SUM_NN050;SUM_SOH
01.01.2015;99,71;-,15;49,62;100,00;,86;97,50;-1,92;214,19;,10;,00
02.01.2015;91,72;1,30;82,78;100,00;3,60;76,17;-2,21;299,27;6,90;,00
03.01.2015;98,56;3,18;70,57;100,00;7,53;92,67;,87;298,69;12,30;,00
04.01.2015;92,57;1,96;195,48;100,00;3,86;81,00;,74;766,37;,00;1,22
05.01.2015;87,02;1,26;325,82;100,00;6,92;58,83;-1,72;1769,76;,10;8,02
06.01.2015;88,15;,59;306,28;99,50;5,71;67,00;-3,51;1549,13;,00;6,45
07.01.2015;86,53;2,71;202,35;97,83;6,08;73,00;,23;1046,93;,00;2,99
08.01.2015;89,35;5,60;112,85;97,67;8,54;79,50;,82;444,54;,80;,00
09.01.2015;88,31;7,23;68,63;94,50;10,37;74,50;4,93;291,34;1,00;,00
10.01.2015;84,62;12,17;359,37;96,00;14,75;72,67;9,62;1224,64;,80;3,98
11.01.2015;90,72;3,43;172,02;99,17;8,31;81,50;2,07;802,63;4,50;1,14
12.01.2015;65,18;5,12;236,48;84,17;7,49;36,50;3,10;1098,14;,00;3,00
13.01.2015;42,57;9,27;332,55;58,67;15,49;29,83;4,58;1831,19;,00;7,66
14.01.2015;86,78;5,50;176,48;97,33;10,92;64,83;2,29;638,96;4,20;,00
15.01.2015;78,14;5,64;125,90;97,83;8,43;66,00;1,41;623,62;,00;,00
16.01.2015;91,41;5,96;124,62;100,00;7,00;68,50;4,34;530,40;4,10;,00
17.01.2015;99,67;2,79;86,52;100,00;4,29;97,50;1,82;398,45;6,90;,00
18.01.2015;97,93;-,41;242,43;100,00;1,29;90,33;-3,65;1091,96;,10;2,51
19.01.2015;97,16;-,22;179,32;100,00;2,44;89,67;-2,66;782,82;,80;,53
20.01.2015;100,00;,30;59,90;100,00;,83;100,00;-,53;296,11;,90;,00
21.01.2015;96,51;,42;113,90;100,00;1,68;89,83;-,65;535,87;1,20;,00
22.01.2015;96,75;-,19;56,85;100,00;,17;93,83;-,53;189,73;,00;,00
23.01.2015;100,00;-,03;18,67;100,00;,24;100,00;-,42;64,51;,00;,00
24.01.2015;96,51;,30;212,68;100,00;1,62;86,67;-,59;799,01;1,10;,30
25.01.2015;94,98;,69;135,25;100,00;2,82;83,33;-,61;692,58;1,70;,00
26.01.2015;97,85;-,02;75,20;100,00;,76;90,67;-,63;367,55;,10;,00
27.01.2015;95,33;1,39;325,15;100,00;5,20;75,67;,18;1098,55;3,70;1,78
28.01.2015;91,45;1,78;184,90;100,00;3,45;83,33;,41;960,71;3,00;,93
29.01.2015;91,69;2,14;156,12;98,83;3,46;80,00;,05;787,14;1,80;,00
30.01.2015;92,98;1,07;389,07;100,00;2,97;79,17;-,76;1721,14;3,40;4,94
31.01.2015;90,34;,75;234,18;100,00;2,95;74,17;-,55;1174,55;,00;1,85
01.02.2015;94,65;,01;342,30;99,83;2,79;80,33;-1,17;906,09;,90;,48
02.02.2015;96,99;-,28;180,82;100,00;2,22;84,00;-3,98;901,32;1,90;,38
03.02.2015;92,84;-3,53;402,03;100,00;1,37;79,17;-7,77;2220,83;,20;6,98
04.02.2015;98,19;-4,86;79,70;100,00;-2,64;94,00;-7,99;432,64;,00;,00
05.02.2015;85,11;-2,32;205,17;93,67;-1,27;72,67;-3,07;832,57;,00;,00
06.02.2015;77,99;-2,25;359,20;88,00;1,09;64,17;-4,59;1737,54;,00;4,18
07.02.2015;79,61;-3,32;441,30;94,00;2,06;55,67;-7,29;2582,43;,00;8,16
08.02.2015;81,31;-1,61;236,88;98,67;3,10;63,17;-6,10;1132,64;,20;1,06
09.02.2015;86,77;-,82;125,47;97,33;1,71;81,50;-3,82;538,80;,00;,00
10.02.2015;90,69;1,60;193,87;96,33;3,93;80,17;,21;877,52;,10;,00
11.02.2015;93,72;,41;454,77;100,00;5,23;76,17;-2,39;2370,09;,00;6,55
12.02.2015;84,60;,89;475,73;100,00;9,67;51,83;-5,46;2982,35;,00;9,21
13.02.2015;79,97;2,57;438,40;100,00;10,60;50,00;-3,25;2628,87;,00;7,44
14.02.2015;78,82;3,73;432,48;96,17;11,47;53,67;-,54;2307,41;,00;5,84
15.02.2015;88,93;,16;474,95;99,00;5,97;66,83;-2,72;2274,97;,00;5,56
16.02.2015;96,22;-,70;416,53;100,00;4,54;80,17;-2,69;1701,60;,00;2,91
17.02.2015;99,92;-1,24;96,80;100,00;-,45;99,33;-1,96;480,21;,00;,00
18.02.2015;91,01;,26;285,42;100,00;2,38;79,33;-1,14;1354,86;,00;1,21
19.02.2015;83,87;1,17;492,05;93,67;6,48;64,83;-1,16;2140,99;,00;4,48
20.02.2015;68,49;4,63;507,13;100,00;13,58;39,00;-2,52;3259,45;,10;9,07
21.02.2015;80,79;3,81;156,40;99,50;5,87;49,17;1,90;837,39;,80;,00
22.02.2015;92,56;2,32;368,13;100,00;5,06;78,50;,47;1494,75;,40;1,45
23.02.2015;92,45;2,23;179,82;98,67;5,76;81,33;-1,33;960,31;1,40;,00
24.02.2015;88,05;2,97;269,65;100,00;4,98;73,67;1,06;1537,86;5,00;1,45
25.02.2015;77,69;3,58;412,77;98,50;8,24;48,67;,47;2648,71;,00;5,82
26.02.2015;69,99;3,49;545,72;99,83;10,44;39,33;-2,74;3546,32;,00;9,25
27.02.2015;90,25;2,40;111,35;100,00;3,50;65,00;1,57;517,90;7,20;,00
28.02.2015;84,92;3,36;567,35;100,00;7,54;60,50;,89;2977,86;,10;6,71
01.03.2015;86,80;5,89;232,82;90,33;10,07;81,67;,70;1223,67;,10;,21
02.03.2015;90,85;5,44;412,47;99,83;7,88;77,67;2,13;1759,07;5,40;2,08
03.03.2015;68,59;5,73;576,15;88,67;10,79;47,17;1,05;3670,17;,00;8,84
04.03.2015;76,33;3,88;511,88;94,83;7,90;47,33;,47;2676,74;,10;5,17
05.03.2015;74,06;3,19;590,15;93,83;8,17;47,83;-,02;2686,39;,10;5,10
06.03.2015;72,02;3,80;595,18;94,50;10,28;45,33;-1,50;3657,28;,00;8,37
07.03.2015;67,62;4,81;465,07;95,00;12,09;38,00;-1,79;3083,52;,00;6,25
08.03.2015;62,44;7,75;605,62;92,33;17,65;26,67;-,17;3710,19;,00;8,28
09.03.2015;61,15;8,93;610,57;86,67;17,08;32,00;2,13;4157,83;,00;9,67
10.03.2015;75,19;7,43;428,63;98,50;14,73;47,67;1,03;2861,69;,00;5,16
11.03.2015;71,75;6,81;614,58;100,00;11,59;32,00;1,62;3246,79;,50;6,34
12.03.2015;67,47;3,75;690,60;91,17;10,19;42,67;-2,61;4131,06;,00;9,16
13.03.2015;69,68;3,44;729,33;95,00;8,84;48,50;-1,65;4066,78;,00;8,81
14.03.2015;79,73;2,97;281,20;88,67;5,89;67,83;-,64;1381,04;,00;,00
15.03.2015;77,62;5,03;716,28;99,50;10,25;54,17;,06;4236,60;,00;9,10
16.03.2015;66,14;7,99;625,02;98,00;17,79;30,67;-,15;4225,35;,00;8,93
17.03.2015;59,22;10,89;617,13;92,83;19,71;30,50;1,59;4425,76;,00;9,44
18.03.2015;63,39;11,50;617,47;89,50;19,51;37,17;4,61;4200,76;,00;8,60
19.03.2015;63,19;9,82;626,33;94,50;16,68;36,17;3,10;4292,60;,00;8,76
20.03.2015;61,00;8,10;659,80;94,33;15,95;31,83;,04;4155,78;,00;8,21
21.03.2015;72,81;6,52;429,45;86,50;13,67;48,00;1,79;2418,45;,00;2,74
22.03.2015;79,12;5,45;262,90;90,67;8,10;68,83;2,95;1840,39;,00;,89
23.03.2015;75,51;7,00;591,58;90,83;11,62;59,33;3,47;2448,06;,00;2,67
24.03.2015;76,27;8,19;653,35;100,00;16,74;42,33;,90;4164,15;,00;7,78
25.03.2015;80,35;8,79;641,82;100,00;18,45;46,33;2,40;3958,86;,00;7,06
26.03.2015;86,90;5,79;165,22;96,00;7,10;77,00;4,67;862,57;,40;,00
27.03.2015;70,82;6,87;563,23;93,50;11,51;47,83;3,59;3125,70;,10;4,39
28.03.2015;71,41;7,14;696,02;89,33;14,23;37,83;1,60;4155,76;,70;7,33
29.03.2015;84,35;9,99;340,80;93,33;11,59;72,50;8,34;1980,04;2,70;,87
30.03.2015;80,99;7,80;595,28;99,17;10,80;59,33;5,51;2446,10;6,50;2,17
31.03.2015;82,11;8,91;515,65;98,50;12,44;70,17;3,70;1742,71;4,00;,07
01.04.2015;77,88;4,63;593,25;99,50;7,99;56,67;1,26;4197,56;1,90;7,29
02.04.2015;90,49;4,02;215,00;99,33;6,20;80,17;1,42;1187,66;5,20;,00
03.04.2015;72,82;5,35;740,58;100,00;11,21;39,00;-,82;4949,62;,20;9,23
04.04.2015;98,32;3,37;241,45;100,00;4,31;94,50;2,19;1481,07;9,50;,00
05.04.2015;64,86;4,34;657,20;95,83;8,24;40,17;-,01;4122,95;,10;6,72
06.04.2015;67,55;3,41;346,37;90,50;8,46;49,00;-2,03;2565,93;,00;2,29
07.04.2015;59,10;5,25;732,90;93,83;11,62;32,33;-1,94;5588,45;,00;10,61
08.04.2015;61,44;8,03;755,27;87,00;15,96;37,50;-,17;5579,29;,00;10,48
09.04.2015;65,22;11,26;750,57;95,83;19,66;36,33;2,21;5568,32;,00;10,35
10.04.2015;56,95;14,11;714,83;91,50;22,57;24,83;5,13;5326,22;,00;9,59
11.04.2015;59,35;13,17;445,17;80,83;16,46;41,50;10,89;2883,66;,00;2,86
12.04.2015;64,87;14,22;777,88;84,67;19,47;43,50;10,31;5237,74;,00;9,17
13.04.2015;64,08;13,09;636,27;89,17;19,42;41,33;6,98;4624,08;,00;7,43
14.04.2015;60,42;14,02;770,78;90,33;21,96;34,17;6,32;5683,83;,00;10,19
15.04.2015;45,84;17,02;797,70;80,67;25,58;18,33;7,82;6040,21;,00;11,05
16.04.2015;39,35;16,87;538,20;58,67;21,31;27,00;11,72;3525,53;,00;4,28
17.04.2015;81,74;12,74;427,62;98,17;18,52;61,33;6,79;2167,84;4,30;,63
18.04.2015;56,24;8,31;855,67;77,83;12,75;34,67;4,17;5318,62;,10;8,88
19.04.2015;46,36;10,16;803,93;67,50;16,83;30,17;2,68;6057,22;,00;10,74
20.04.2015;49,83;11,36;802,78;85,50;19,01;24,00;2,17;6139,50;,00;10,87
21.04.2015;51,79;13,22;808,77;88,83;21,66;22,83;3,31;6222,05;,00;11,00
22.04.2015;52,51;12,88;804,50;80,83;21,50;25,33;5,94;6234,47;,00;10,95
23.04.2015;58,41;9,64;815,50;88,83;17,04;34,00;1,67;6361,32;,00;11,20
24.04.2015;54,92;12,59;818,33;89,83;21,38;25,17;2,79;6421,23;,00;11,27
25.04.2015;73,02;12,55;437,77;91,00;18,56;54,00;7,07;2596,42;,30;1,39
26.04.2015;70,38;15,98;747,67;93,00;20,66;45,67;11,14;5560,78;,20;8,92
27.04.2015;82,15;14,37;423,75;100,00;19,73;57,83;8,98;3262,51;15,40;3,00
28.04.2015;82,56;7,79;393,15;100,00;11,45;58,67;5,11;2457,96;4,90;,91
29.04.2015;67,77;9,59;775,95;99,83;15,60;40,83;1,27;5964,79;,10;9,75
30.04.2015;66,17;11,12;724,52;87,00;15,84;42,00;7,58;4816,16;,00;6,78
01.05.2015;98,86;8,36;152,08;100,00;9,29;92,50;7,44;1290,75;25,30;,00
02.05.2015;91,12;11,12;548,62;100,00;14,70;78,17;7,79;2812,57;,60;1,62
03.05.2015;95,53;14,37;348,62;100,00;17,51;89,17;10,65;2195,30;6,90;,07
04.05.2015;81,66;17,72;616,65;100,00;22,49;54,50;13,72;3948,52;,30;4,33
05.05.2015;81,12;16,79;255,17;95,50;21,72;52,50;13,11;1736,78;2,30;,00
06.05.2015;73,86;14,21;879,62;99,67;18,07;45,67;9,87;4577,47;,10;5,78
