treatment,tray,tube.1.females,tube.2.females,tube.3.females,tube.4.females,tube.5.females,tube.6.females,tube.7.females,tube.8.females,tube.9.females,tube.10.females,tube.1.total,tube.2.total,tube.3.total,tube.4.total,tube.5.total,tube.6.total,tube.7.total,tube.8.total,tube.9.total,tube.10.total,sum.total.cocoons,sum.female.cocoons
Csa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csa,2,1,0,0,1,0,3,0,0,0,0,5,0,0,2,1,8,1,1,0,6,24,5
Csa,3,0,0,0,1,0,2,2,4,0,0,1,1,4,2,3,6,2,6,0,0,25,9
Csa,4,0,0,0,1,2,2,1,2,1,2,0,2,0,1,2,6,4,2,4,8,29,11
Csa,5,1,0,0,1,0,1,3,0,0,0,3,0,0,6,0,2,9,0,0,0,20,6
Csa,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csa,7,1,0,0,2,2,2,2,2,0,1,2,0,0,2,6,3,4,3,1,3,24,12
Csa,8,0,0,0,1,1,2,0,3,4,1,0,0,0,6,1,3,0,4,5,4,23,12
Csa,9,0,0,0,0,0,2,3,1,1,0,0,0,0,1,2,3,3,3,3,0,15,7
Csa,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,0,0,7,1
Csb,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,1
Csb,2,1,0,1,0,2,0,0,0,0,0,3,2,3,1,7,1,3,1,5,1,27,4
Csb,3,0,2,2,3,2,0,2,0,1,0,1,6,5,6,7,6,2,2,4,1,40,12
Csb,4,1,0,1,0,0,0,0,0,1,4,4,0,2,0,0,0,0,4,2,4,16,7
Csb,5,0,2,1,1,2,2,0,2,1,2,0,4,2,2,5,3,2,2,5,2,27,13
Csb,6,0,1,0,0,2,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,7,4
Csb,7,0,0,1,0,0,2,0,0,0,0,6,1,3,0,2,4,3,5,5,0,29,3
Csb,8,3,0,1,1,1,1,3,2,4,0,6,4,1,2,3,1,5,4,5,0,31,16
Csb,9,0,0,3,2,0,2,1,1,0,0,0,0,5,4,3,6,3,1,0,0,22,9
Csb,10,0,1,1,2,3,0,1,2,5,0,0,2,3,2,3,0,2,2,8,3,25,15
Csc,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1
Csc,2,0,0,1,3,2,0,1,0,0,0,0,0,5,4,2,0,1,0,0,0,12,7
Csc,3,0,0,0,2,1,1,0,0,0,0,0,0,0,2,3,5,0,0,0,0,10,4
Csc,4,0,1,0,1,0,0,1,0,0,2,0,1,0,5,0,0,5,0,0,3,14,5
Csc,5,1,0,0,2,3,0,1,1,0,0,2,0,7,2,3,2,1,1,0,0,18,8
Csc,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,5,0
Csc,7,1,0,1,0,0,0,1,2,0,0,8,0,4,1,1,1,4,2,0,2,23,5
Csc,8,3,0,3,3,1,0,1,2,0,2,7,0,3,8,3,2,1,3,6,5,38,15
Csc,9,0,0,2,0,5,2,2,1,2,2,0,0,2,2,5,2,5,2,3,6,27,16
Csc,10,2,1,0,2,6,1,2,0,0,3,2,7,1,3,7,1,4,0,0,3,28,17
Csd,1,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,1,1,0,8,13,6
Csd,2,0,3,0,0,1,0,1,0,0,1,1,3,0,0,3,2,2,0,0,1,12,6
Csd,3,0,0,0,0,1,2,1,0,0,4,0,0,0,0,4,2,2,0,0,4,12,8
Csd,4,0,0,1,0,3,1,1,0,4,1,0,0,4,0,4,2,1,0,5,4,20,11
Csd,5,0,0,0,2,1,4,0,1,0,0,0,0,0,7,1,5,2,2,0,0,17,8
Csd,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Csd,7,0,0,0,0,0,2,4,1,0,2,0,0,0,0,0,2,4,2,0,4,12,9
Csd,8,0,1,0,1,0,0,1,0,0,0,0,1,1,2,0,4,2,0,0,0,10,3
Csd,9,0,1,2,1,0,1,3,0,2,2,4,1,8,1,1,1,8,1,3,2,30,12
Csd,10,2,0,0,4,1,0,1,0,0,0,3,0,0,5,3,0,1,0,0,0,12,8
