Osmia 2015 weather (Ruddle et al. 2018),,,,,,
Study year: 2015,,,,,,
Location: Germany - Celle,,,,,,
,,,,,,
,,Control field site,,,,
Date,DOY,Mean air temp. ,Max. air temp. ,Min. air temp ,Pre-cipitation ,Relative air humidity 
2015-04-29,119,8,14.3,-0.8,0,72.9
2015-04-30,120,8.8,14.7,2.3,8.6,83.2
2015-05-01,121,7,12.3,0.8,0,87
2015-05-02,122,8,15.2,0.6,0,77.4
2015-05-03,123,11.6,18.6,1.8,4,82.9
2015-05-04,124,15.6,21.3,11.1,0.2,85.8
2015-05-05,125,16.4,25.3,6.6,9.8,89
2015-05-06,126,12.1,18.9,4.4,1,77
2015-05-07,127,11.2,15.1,7.3,1.6,83.9
2015-05-08,128,12.9,19.2,5.6,0,81.4
2015-05-09,129,14.3,19,10.9,2,82.4
2015-05-10,130,11.5,17.6,4.4,2,77.4
2015-05-11,131,14.4,23.3,4.2,0,76.6
2015-05-12,132,15.7,26.1,8.1,0,80.2
2015-05-13,133,12.6,17.7,7.4,0,73.4
2015-05-14,134,9.2,13.3,2.2,0,84.9
2015-05-15,135,9.5,18.5,-1.2,0,77.5
2015-05-16,136,7.7,12.5,-0.2,0.6,94.8
2015-05-17,137,10.2,15.5,3.7,0,78.6
2015-05-18,138,12.4,20.6,1.8,0,79
2015-05-19,139,12.6,17.3,5.4,0,71.1
2015-05-20,140,10.7,17.9,2.6,0,76
2015-05-21,141,9.7,16.2,1.4,0,81.2
2015-05-22,142,12.3,20.8,1.8,0,79.3
2015-05-23,143,13.2,19.7,5.8,0,86.2
2015-05-24,144,12.1,21.1,-0.1,0,78.5
2015-05-25,145,9.4,15.4,2,1.2,94.4
2015-05-26,146,10.2,16,4.5,0,83.5
2015-05-27,147,10.9,16.4,5.1,0,80.9
2015-05-28,148,12.5,19.4,6.6,5.6,82.4
2015-05-29,149,12.4,18.8,1.3,0,77.3
2015-05-30,150,10.2,14.2,5.4,4.4,88.2
2015-05-31,151,13.2,19.6,1.9,0.2,78.5
2015-06-01,152,13.4,17.3,6.7,0.6,78.2
2015-06-02,153,16.2,20.8,9.1,0,76.3
2015-06-03,154,16.7,19.5,7.1,0,71
2015-06-04,155,14.2,22.8,2.6,0,73.3
2015-06-05,156,21.1,30,8.3,0,60.9
2015-06-06,157,19.8,25.6,10.6,0,77.1
2015-06-07,158,15.2,23.4,5,0,67
2015-06-08,159,13.2,19.9,5.7,0,74.1
2015-06-09,160,12.6,18.7,6.8,0,78.6
2015-06-10,161,14.7,21.4,5.1,0,73
2015-06-11,162,17.8,24.8,6.4,0,58.8
2015-06-12,163,20,27.8,11.2,0,71.7
2015-06-13,164,18.4,26.8,10.9,0,84.3
2015-06-14,165,15.1,17.8,11.9,0,89.3
2015-06-15,166,13.9,20.6,6.6,0,65.3
2015-06-16,167,11.2,18.4,3.8,0,77.4
2015-06-17,168,13.6,20.9,1.4,0.6,75.2
2015-06-18,169,15.3,19.8,10.5,0.2,83
2015-06-19,170,12.1,16,9.7,0.2,88.6
2015-06-20,171,12.3,17.7,6.2,1.6,89.8
2015-06-21,172,13.3,19,5.7,1.8,85.1
2015-06-22,173,12.1,15.7,9.4,14,99.3
2015-06-23,174,12.3,16.7,9.3,2.4,96.6
2015-06-24,175,13.4,17.9,10.6,0,87.7
2015-06-25,176,16.8,23.4,8.5,0,81
2015-06-26,177,18.1,23.9,11.6,0,83.5
2015-06-27,178,17.2,22.9,11.2,9,95.8
2015-06-28,179,16.5,23.7,8.1,0.2,79.9
2015-06-29,180,19.9,26.2,13,0,77.4
2015-06-30,181,19.7,27.2,10.8,0,70.1
2015-07-01,182,22,29.3,13.2,0,65.8
2015-07-02,183,24.9,32.4,16.2,0,56.3
2015-07-03,184,24.3,32.6,17.1,0.2,74.8
2015-07-04,185,26.8,37.1,15.9,0,74.8
2015-07-05,186,23.6,32.3,17.2,26,85.2
2015-07-06,187,18.8,23.8,12.1,0.2,80.3
2015-07-07,188,20.4,30.2,10.4,3.6,81
2015-07-08,189,17.1,20.9,14.6,0.2,87.2
