name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,"Effects","ad.nectar.cons","ad.pollen.cons","k_CA","Transfer.mat.adult","ad.ET","TC_soil","TC_leaf","Exposure.resting.soil","GUTS","t.guts","kd_SD","bw_SD","mw_SD","kd_IT","mw_IT","Fs_IT","nectar_prop","weight.prov","Transfer.mat.dev","SM","F","SA_i","dr.intercept","dr.slope"
"Eucera_semifield_control",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_noexp.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_SD_med",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_IT_med",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_SD_med_75p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_75p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_IT_med_75p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_75p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_SD_med_50p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_50p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_IT_med_50p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_50p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_SD_med_25p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_25p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_IT_med_25p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_25p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
"Eucera_semifield_SD_med_0p",168,"E.pruinosa","univoltine",90,110,"cocoon",300,"888,690,672,83,250,479,392,862,410,266,47,796,522,857,641,13,412,803,37,637,619,688,428,360,40,145,901,546,601,932,383,758,401,802,288,167,908,792,93,341,697,65,947,1000,755,772,775,511,782,274",FALSE,NA,2,"Floral_semifield_Eucera_DIMexp75_med_resid_0p_spray.csv",FALSE,FALSE,1,1,"linear",1,198,15,198,8,235,8,15,68,4,21,36,0.04,0.7,1.65,0.74,0.74,0.82,-0.006,-0.0406,-0.003,0.94,0.42,0.114,TRUE,210,11.7,0.4,TRUE,0.79,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,316,TRUE,0,0,0,1.1534,-0.7876
