"var","bees.emerged.yr","f.emerged.yr","m.emerged.yr","bees.nesting","sum.cells","sum.f.cells","sum.m.cells","f.sex.ratio.emerged"
"a.cell.age",0.0631659869941557,0.0436725247628294,0.0674077185432923,0.00627664216721096,0.0609573709033186,0.0420318260450476,0.0672801383209204,-0.0295797353810549
"a.cell.resource",0.00534236537576416,0.0034021206972941,0.00812306471612458,-0.00915981563063272,0.00695970647823804,0.00350933690802096,0.0107071322996647,-0.00144492689603288
"a.sex.age",0.0110137447383809,0.629580216041068,-0.368255644954272,-0.00097920182261273,0.00938290370521354,0.650792302339598,-0.378417103282401,0.824926028392749
"a.sex.resource",-0.00330320320863891,6.78962889098204e-05,-0.00435825148619123,-0.00517554874509642,-0.00640167970011568,-0.0017038750258103,-0.00691509329095217,-0.00505293034376098
"a.size.age",0.0484278669307922,0.0353271840292569,0.0471078771161234,0.00806022395004086,0.00253039189763942,0.00421442970034528,0.000810991412383945,-0.0188390828472192
"a.size.resource",-0.00803911417212847,-0.00653199125875539,-0.00827595643441521,-0.00336407726601305,-0.00907127948610313,-0.00692097070965951,-0.00865546167232255,0.00918216318718201
"emerged.survival",0.549130039746503,0.52653904713045,0.507510146422943,0.766695937276729,0.554096643839542,0.541296247063955,0.51398870176708,0.00303379856724962
"max.cells",0.758047655333375,0.726510816304785,0.723893372188508,0.00674158905220945,0.76312233826194,0.739223140694426,0.731025212153874,-0.00825915997307341
"max.f.ratio",-0.00922761191151457,0.476688488579429,-0.285546158837087,-0.00147643424396208,-0.00938213895114357,0.489949038863956,-0.287502847774116,0.705127019690238
"max.nesting.life",0.467051618300051,0.327083263284229,0.476886205196543,-0.00209059860252609,0.4808960141002,0.341419131214123,0.492869094429801,-0.214773381928903
"max.survival.e.f",0.48986919251505,0.459348248012803,0.456173071832707,0.439145137831694,0.273364372033511,0.260090458958036,0.253066136341042,-0.00471671641553414
"p.max.nesting.life",0.640498667992947,0.515545794411972,0.640880612779184,0.000561976813666619,0.651175965097394,0.533588374769384,0.653513331452926,-0.262492863475647
"t.maturation",0.00870352795266839,0.0148798299716959,0.00572890166501422,0.011337148614351,0.00708514416369304,0.0127180446508694,0.00610360402940542,-0.000841316611904364
"var.emerge.f",-0.00715380633170026,-0.0161165498840644,0.00381443785324258,0.000453089978932793,-0.00804021391220932,-0.0175580477996854,0.00281038211559677,-0.0166229135695161
