"var","bees.emerged.yr","f.emerged.yr","m.emerged.yr","bees.nesting","sum.cells","sum.f.cells","sum.m.cells"
"a.cell.age",0.0460922660268873,0.0311312072382515,0.043799678433282,-0.00501732166625984,0.0466086263118416,0.033888740477588,0.0448189234122059
"a.cell.resource",-0.842922655651991,-0.787550467173792,-0.817771526994253,0.008834819721044,-0.852506468983998,-0.813315574670013,-0.830144173496006
"a.sex.age",-0.0102405192302019,0.55124324960949,-0.306632402577595,-0.000171794578726083,-0.0122723122178457,0.590435152911352,-0.32368318843631
"a.sex.resource",-0.00828093425961562,-0.357450393441303,0.17420854179135,-0.00870495476874804,-0.00741896992709483,-0.38573046476186,0.182067807106376
"a.size.age",0.0434818534420463,0.0256947311716433,0.0420341916089063,-0.00037333393858468,-0.0005247486624176,-0.00452321730604315,-0.000794491089325822
"a.size.resource",-0.231244965285599,-0.190633988692589,-0.214057438982632,-0.00337591194462519,-0.00277356208249721,-0.0117783809774841,-0.00157572203411096
"emerged.survival",0.489654680215846,0.396930367189337,0.462216652167069,0.764915572279291,0.504263486576458,0.426891551121733,0.478809182900027
"max.cells",0.751321766845931,0.674084782733322,0.721930164306833,-0.00837792112001659,0.764195456222842,0.707085986225271,0.737342835795839
"max.f.ratio",0.00044315601366208,0.383744587892498,-0.195446519116321,0.00404136940097543,-0.0045336483442219,0.413024179716093,-0.209299058111389
"max.nesting.life",0.452153999711242,0.285402771725598,0.454742751660958,0.00758749993082421,0.474915068498204,0.314867189935781,0.480303942700149
"max.survival.e.f",0.42778260961686,0.343410255943386,0.404491062448496,0.427322128566299,0.233685477457571,0.188663283882166,0.223614418613237
"p.max.nesting.life",0.614262327317441,0.440968618316475,0.612819023828725,0.00898408766299452,0.636914588597442,0.479901855215446,0.63813991121015
"t.maturation",-0.0047643462213215,0.00686512064577682,-0.00528589016108732,0.00292502147967288,-0.00440703135547239,0.004959797334097,-0.00429001813995193
"var.emerge.f",-0.00228831810105691,-0.004046662254166,0.000222746053681772,-0.00572400948917793,-0.00300771552382389,-0.00338776615400608,-0.00107361599799254
