"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
1,1,1,0,1,0,0,0,1.50733333333333e-14,0
2,1,1,0,1,0,0,0,1.49866666666667e-14,0
3,1,1,0,1,0,0,0,1.48066666666667e-14,0
4,1,1,0,1,0,0,0,1.438e-14,0
5,1,1,0,1,0,0,0,1.37533333333333e-14,0
6,1,1,0,1,0,0,0,1.31066666666667e-14,0
7,1,1,0,1,0,0,0,1.28066666666667e-14,0
8,1,1,0,1,0,0,0,1.27933333333333e-14,0
9,1,1,0,1,0,0,0,1.284e-14,0
10,1,1,0,1,0,0,0,1.28666666666667e-14,0
11,1,1,0,1,0,0,0,1.28666666666667e-14,0
12,1,1,0,1,0,0,0,1.28666666666667e-14,0
13,1,1,0,1,0,0,0,1.286e-14,0
14,1,1,0,1,0,0,0,1.286e-14,0
15,1,1,0,1,0,0,0,1.286e-14,0
16,1,1,0,1,0,0,0,1.28666666666667e-14,0
17,1,1,0,1,0,0,0,1.288e-14,0
18,1,1,0,1,0,0,0,1.28866666666667e-14,0
19,1,1,0,1,0,0,0,1.28933333333333e-14,0
20,1,1,0,1,0,0,0,1.28466666666667e-14,0
21,1,1,0,1,0,0,0,1.25066666666667e-14,0
22,1,1,0,1,0,0,0,1.194e-14,0
23,1,1,0,1,0,0,0,1.12866666666667e-14,0
24,1,1,0,1,0,0,0,1.06733333333333e-14,0
25,1,1,0,1,0,0,0,1.03933333333333e-14,0
26,1,1,0,1,0,0,0,1.03533333333333e-14,0
27,1,1,0,1,0,0,0,1.03533333333333e-14,0
28,1,1,0,1,0,0,0,1.02866666666667e-14,0
29,1,1,0,1,0,0,0,9.98666666666667e-15,0
30,1,1,0,1,0,0,0,9.4e-15,0
31,1,1,0,1,0,0,0,8.86666666666667e-15,0
32,1,1,0,1,0,0,0,8.42666666666667e-15,0
33,1,1,0,1,0,0,0,7.90666666666667e-15,0
34,1,1,0,1,0,0,0,7.56666666666667e-15,0
35,1,1,0,1,0,0,0,7.42e-15,0
36,1,1,0,1,0,0,0,7.34666666666667e-15,0
37,1,1,0,1,0,0,0,7.07333333333333e-15,0
38,1,1,0,1,0,0,0,6.584e-15,0
39,1,1,0,1,0,0,0,6.16933333333333e-15,0
40,1,1,0,1,0,0,0,5.85466666666667e-15,0
41,1,1,0,1,0,0,0,5.538e-15,0
42,1,1,0,1,0,0,0,5.21466666666667e-15,0
43,1,1,0,1,0,0,0,4.97533333333333e-15,0
44,1,1,0,1,0,0,0,4.74466666666667e-15,0
45,1,1,0,1,0,0,0,4.52933333333333e-15,0
46,1,1,0,1,0,0,0,4.32466666666667e-15,0
47,1,1,0,1,0,0,0,4.15266666666667e-15,0
48,1,1,0,1,0,0,0,4.03133333333333e-15,0
49,1,1,0,1,0,0,0,3.92733333333333e-15,0
50,1,1,0,1,0,0,0,3.814e-15,0
51,1,1,0,1,0,0,0,3.68533333333333e-15,0
52,1,1,0,1,0,0,0,3.54933333333333e-15,0
53,1,1,0,1,0,0,0,3.42266666666667e-15,0
54,1,1,0,1,0,0,0,3.31533333333333e-15,0
55,1,1,0,1,0,0,0,3.224e-15,0
56,1,1,0,1,0,0,0,3.19066666666667e-15,0
57,1,1,0,1,0,0,0,3.14933333333333e-15,0
58,1,1,0,1,0,0,0,3.04133333333333e-15,0
59,1,1,0,1,0,0,0,2.91533333333333e-15,0
60,1,1,0,1,0,0,0,2.802e-15,0
61,1,1,0,1,0,0,0,2.68133333333333e-15,0
62,1,1,0,1,0,0,0,2.54466666666667e-15,0
63,1,1,0,1,0,0,0,2.50866666666667e-15,0
64,1,1,0,1,0,0,0,2.484e-15,0
65,1,1,0,1,0,0,0,2.39133333333333e-15,0
66,1,1,0,1,0,0,0,2.262e-15,0
67,1,1,0,1,0,0,0,2.16866666666667e-15,0
68,1,1,0,1,0,0,0,2.10866666666667e-15,0
69,1,1,0,1,0,0,0,2.03933333333333e-15,0
70,1,1,0,1,0,0,0,1.982e-15,0
71,1,1,0,1,0,0,0,1.94466666666667e-15,0
72,1,1,0,1,0,0,0,1.91466666666667e-15,0
73,1,1,0,1,0,0,0,1.892e-15,0
74,1,1,0,1,0,0,0,1.876e-15,0
75,1,1,0,1,0,0,0,1.84133333333333e-15,0
76,1,1,0,1,0,0,0,1.79333333333333e-15,0
77,1,1,0,1,0,0,0,1.75466666666667e-15,0
78,1,1,0,1,0,0,0,1.728e-15,0
79,1,1,0,1,0,0,0,1.73933333333333e-15,0
80,1,1,0,1,0,0,0,1.77533333333333e-15,0
81,1,1,0,1,0,0,0,1.77866666666667e-15,0
82,1,1,0,1,0,0,0,1.746e-15,0
83,1,1,0,1,0,0,0,1.706e-15,0
84,1,1,0,1,0,0,0,1.662e-15,0
85,1,1,0,1,0,0,0,1.60933333333333e-15,0
86,1,1,0,1,0,0,0,1.54266666666667e-15,0
87,1,1,0,1,0,0,0,1.43933333333333e-15,0
88,1,1,0,1,0,0,0,1.328e-15,0
89,1,1,0,1,0,0,0,1.23933333333333e-15,0
90,1,1,0,1,0,0,0,1.17666666666667e-15,0
91,1,1,0,1,0,0,0,1.12066666666667e-15,0
92,1,1,0,1,0,0,0,8.91333333333333e-16,0
93,1,1,0,1,0,0,0,9.42666666666667e-16,0
94,1,1,0,1,0,0,0,8.96e-16,0
95,1,1,0,1,0,0,0,9.19333333333333e-16,0
96,1,1,0,1,0,0,0,9.06666666666667e-16,0
97,1,1,0,1,0,0,0,9.02666666666667e-16,0
98,1,1,0,1,0,0,0,8.32666666666667e-16,0
99,1,1,0,1,0,0,0,7.96e-16,0
100,1,1,0,1,0,0,0,7.90666666666667e-16,0
101,1,1,0,1,0,0,0,7.62e-16,0
102,1,1,0,1,0,0,0,7.87333333333333e-16,0
103,1,1,0,1,0,0,0,7.94666666666667e-16,0
104,1,1,0,1,0,0,0,7.61333333333333e-16,0
105,1,1,0,1,0,0,0,7.34666666666667e-16,0
106,1,1,0,1,0,0,0,6.93333333333333e-16,0
107,1,1,0,1,0,0,0,6.53933333333333e-16,0
108,1,1,0,1,0,0,0,5.986e-16,0
109,1,1,0,1,0,0,0,5.72e-16,0
110,1,1,0,1,0,0,0,5.44333333333333e-16,0
111,1,1,0,1,0,0,0,5.26266666666667e-16,0
112,1,1,0,1,0,0,0,5.09333333333333e-16,0
113,1,1,0,1,0,0,0,4.93533333333333e-16,0
114,1,1,0,1,0,0,0,5.41533333333333e-16,0
115,1,1,0,1,0,0,0,9.14e-13,0
116,1,1,0,1,0,0,0,9.32e-12,0
117,1,1,0,1,0,0,0,6.68e-08,0
118,1,1,0,1,0,0,0,2.70133333333333e-06,0
119,1,1,0,1,0,0,0,7.29333333333333e-06,0
120,1,1,0,1,0,0,0,9.44666666666667e-06,0
121,1,1,0,1,0,0,0,1.32466666666667e-05,0
122,1,1,0,1,0,0,0,1.63066666666667e-05,0
123,1,1,0,1,0,0,0,1.80666666666667e-05,0
124,1,1,0,1,0,0,0,1.89933333333333e-05,0
125,1,1,0,1,0,0,0,1.934e-05,0
126,1,1,0,1,0,0,0,1.94466666666667e-05,0
127,1,1,0,1,0,0,0,1.88266666666667e-05,0
128,1,1,0,1,0,0,0,1.79933333333333e-05,0
129,1,1,0,1,0,0,0,1.76e-05,0
130,1,1,0,1,0,0,0,1.736e-05,0
131,1,1,0,1,0,0,0,1.7e-05,0
132,1,1,0,1,0,0,0,1.65e-05,0
133,1,1,0,1,0,0,0,1.59533333333333e-05,0
134,1,1,0,1,0,0,0,1.54133333333333e-05,0
135,1,1,0,1,0,0,0,1.48e-05,0
136,1,1,0,1,0,0,0,1.402e-05,0
137,1,1,0,1,0,0,0,1.31266666666667e-05,0
138,1,1,0,1,0,0,0,1.21933333333333e-05,0
139,1,1,0,1,0,0,0,1.12266666666667e-05,0
140,1,1,0,1,0,0,0,1.03533333333333e-05,0
