"var","bees.emerged.yr.R","f.emerged.yr.R","m.emerged.yr.R","bees.nesting.R","sum.cells.R","sum.f.cells.R","sum.m.cells.R","deaths.exp.in.y","deaths.exp.ad.y"
"a.cell.age",-0.00610486298346482,-0.00436915072826798,-0.00635262922282352,0.000893084778437633,-0.00602200081933025,-0.00499551927187577,-0.00582108633191179,0.00123547078632525,0.000537348795829807
"a.cell.resource",-0.00402975606431589,-0.00436268669214645,-0.00357398819157316,-0.00618796971112986,-0.0041130203983486,-0.00510060531769996,-0.00359309187624395,-0.000493040798364063,-0.00262758494973244
"a.sex.age",-0.000747057019518378,-0.0169951717903725,0.00424196164582973,-0.00409127027186187,-0.0019290347619446,-0.0173923263703856,0.00284527881821522,-0.00655375510208998,-0.0024970392812961
"a.sex.resource",-0.00295095080921675,-0.000299594799844554,-0.00332340840180072,0.00409034766344771,-0.0032812657286792,-0.00148984564313205,-0.00304444181912652,0.00188175314386745,-0.000663856272886916
"a.size.age",0.000313192972082323,-0.000126484904080457,7.48767709230791e-05,0.000251224323766479,0.00185993237063976,0.00111302821729608,0.00163225003219745,0.00433187001712871,0.000114486729893662
"a.size.resource",-0.00402773908442329,-0.00274825948544925,-0.00434888473501426,-0.000586381038107862,-0.00276058691560615,-0.00128451627777055,-0.00352398090692239,0.00216758882988997,0.00596138604893526
"ad.ET",-0.00176197285735933,-0.000922306873245016,-0.00192931242356295,-0.00518140256110693,-0.00245912359007252,-0.000766421687327378,-0.00276195557459225,-0.000688861466039156,0.00223231485485741
"ad.nectar.cons",-0.0302015211954756,-0.0300042794619244,-0.0272750285490938,-0.010304252793409,-0.0302120540785386,-0.0305390027007846,-0.0277070116774874,-0.00440692652023531,0.0595341162554948
"ad.pollen.cons",-0.00499422413914106,-0.000848879688478129,-0.00679548800199649,0.000558815533259756,-0.00510308373329114,-0.00155763757949717,-0.00642074010984375,0.00124170542733302,-0.00109935406755274
"dr.intercept",-0.00748959977239499,-0.00510682984157385,-0.00762136018404013,-0.00214053630859045,-0.00747949343241134,-0.00696578217392792,-0.0068899174286663,-0.00226107598638587,0.00137542043526039
"dr.slope",0.00105298132001097,-0.00159227677261527,0.00282621667011057,0.00621138815213916,0.00107319544766867,-0.00158833978270812,0.00280212493812451,-0.00137660293654206,0.00537079033795508
"emerged.survival",0.00264120100451836,0.00268161003921768,0.00244925498316846,0.00665255877350605,0.00217170221225778,0.00387302064228389,0.000909372069512363,-0.00441314934803088,0.128077254760304
"Fs_IT",0.0134481082774956,0.0145653989963002,0.0122674177856735,0.00826437358542504,0.0130998087636084,0.0161874062917334,0.0112948129690847,0.00388400959022762,-0.0331666747128189
"kd_IT",-0.0273797925446951,-0.0276440561303738,-0.023995163356986,-0.0157446642365035,-0.0269859364031505,-0.0281339180887706,-0.023945793522215,-0.00434320866316426,0.0711193259616514
"max.cells",0.0582895572584556,0.0807249186080153,0.0380560905737105,-0.00699113444287532,0.0585460599497244,0.0817382485018971,0.0391941684685021,-0.00629334116302646,0.00679759876602796
"max.f.ratio",-0.00399077067296949,-0.00635386294769974,-0.0119654612054029,-0.00259487788279543,-0.0050789164956601,-0.0076582083892576,-0.0128025059330984,0.00177977627699282,-0.00150341789866078
"max.nesting.life",-0.0326729501818855,-0.0189134637385639,-0.0322865794468623,0.00291062322015467,-0.0333554184120352,-0.0210780279261397,-0.0324753004990133,-0.00541876775189186,0.0679286134469588
"max.survival.e.f",0.0117034537417448,0.0136463228654569,0.00913656106266298,0.00167291173767253,0.0116742258551489,0.0142423406376705,0.00904360913570703,0.000758997560342759,0.321879403392857
"mw_IT",0.0310780251720065,0.0306774111024243,0.0280842175546965,0.0137567380731402,0.0303936125028578,0.0311572485177121,0.0271247051810399,0.0015150074704528,-0.0717378524423209
"nectar_prop",-0.00277826084410018,-0.0010109794272254,-0.00363028616052021,0.000241530525166172,-0.0026038136434723,-0.00246272454418231,-0.00260722778095692,-0.00430515276248839,0.00123122800785878
"p.max.nesting.life",-0.00320522523085179,-0.00336641766563053,-0.00226226082470028,-0.00256556922279864,-0.00282286754974198,-0.00503207167711714,-0.000948927045699673,-0.00433471481977179,0.0186868804816974
"t.maturation",-0.0825070273413193,-0.102001891496161,-0.0627456017042814,-0.281199175187682,-0.0807678630992389,-0.104428387160971,-0.0610365003590127,-0.00363981352472389,0.384186260549201
"TC_soil",-0.00639987939461167,-0.00708413477535368,-0.0048049980635228,-0.00635152424271724,-0.0060305750606989,-0.00708616932803398,-0.00439239642995453,-0.00590441625825793,0.0005863906707984
"var.emerge.f",0.126055407162567,0.14755072093353,0.101987755101528,0.181380747312019,0.12458347761733,0.151476307559291,0.0999548670006577,0.00480817643629823,-0.360339116610328
"weight.prov",0.0036153430472461,0.00506179541550304,0.00225941719651249,0.000109698918435916,0.00307933294344152,0.00587347090239178,0.000995555387441363,0.000710781649334008,0.00111118174879682
