"var","deaths.exp.ad.y","deaths.exp.in.y","sum.m.cells.R","sum.f.cells.R","sum.cells.R","bees.nesting.R","m.emerged.yr.R","f.emerged.yr.R","bees.emerged.yr.R"
"a.cell.age",0.000731995328036322,-0.00132260462338401,-0.00831676500351459,-0.00491049665566902,-0.00784350314121693,-0.00627873695716615,-0.00852540148163652,-0.00361140368890614,-0.00732539288254047
"a.cell.resource",-0.00116521917008797,0.000368563941760295,0.000102129831144034,-0.000579995809627677,-0.000237535137422352,-0.0023001347168265,5.12517443786883e-05,-3.91577998902852e-05,0.000103249826981333
"a.sex.age",0.000259024017521264,0.00702400082178488,0.0043808877919151,-0.0135164487569424,0.000759895167655499,-0.00010242010520779,0.00506592714980429,-0.0139423061215248,0.00103618072716157
"a.sex.resource",-0.00325806366446866,-0.00189078899922237,0.00539415537350349,0.00176495305422262,0.00407024202963332,0.00407395638855645,0.00442590911879987,0.00226510341033509,0.00373302228730093
"a.size.age",-0.00119813208318688,-0.00459880505707096,0.00297633601154269,0.00136922505307601,0.00265323215644069,0.00141478878544729,0.00217286588455235,0.00175079041216065,0.00222453626013234
"a.size.resource",0.00764479575959349,-0.00228142191367645,-0.00703958014266034,-0.00561662481985081,-0.00699972056305313,-0.00276606075078882,-0.0071749273342188,-0.00734157544387764,-0.00769370635495313
"ad.ET",0.00289255489432983,0.000674518771331676,-0.00389646911866079,-0.00167804247696881,-0.00374898625071766,-0.00513835770072496,-0.00334985682774494,-0.0016583482342887,-0.00311917578810408
"ad.nectar.cons",0.0756751115899816,0.00467340281796685,-0.0233260193558771,-0.0265808146270226,-0.0259562659109466,-0.0219464448686111,-0.0229497430375868,-0.0254044446861785,-0.0254517201781309
"ad.pollen.cons",-0.00104364084311691,-0.00136070892423626,-0.00661412912730295,-0.00120118746446718,-0.00526230618516827,-0.000165534895644148,-0.0078483312894567,-0.000742179865341324,-0.00597531878382935
"bw_SD",0.0234026169196302,-0.00161024654692007,-0.0161424638378695,-0.0112063322218885,-0.015530769573597,-0.0141022967792614,-0.0155206063534454,-0.00945010514228258,-0.0147048277486575
"dr.intercept",-0.00112165894018472,0.00241020120808993,-0.00289711990787992,-0.00114812470475091,-0.00251992555527021,-0.00246329039221418,-0.0025397949392636,0.000605157124147053,-0.00145148698791819
"dr.slope",0.0013193344418557,0.00156837392760489,0.00419547053023332,0.00327901513811491,0.00425037448706757,0.0074918049698944,0.00507521767869884,0.00315488480005221,0.00463472030600967
"emerged.survival",0.124633933024722,0.00463058157637748,0.00842611030792319,0.0142572727912547,0.0116063861049356,0.0150105625110608,0.00781637144703832,0.0132920511901775,0.0108421937599716
"kd_SD",0.0427365200733362,0.0044685100144599,-0.00947272954022449,-0.0163531326242775,-0.0125377668800762,-0.0248844053826905,-0.00964834769773455,-0.0149098050277651,-0.0123591305796404
"max.cells",0.00735717362020018,0.00647875101132519,0.0396212676038346,0.0844843212879522,0.0601799738063451,-0.00471058283101761,0.0402374876464292,0.0849235169512861,0.0613428256214437
"max.f.ratio",-0.00126507643498873,-0.00177599184857728,-0.00964011170762276,0.00073072832737252,0.000545118146353092,0.00414078813058953,-0.00898345062847993,7.57001042056907e-06,0.000945545837141635
"max.nesting.life",0.0688172798104787,0.00569716475611949,-0.0306410193446412,-0.0202108087756078,-0.0315337772262277,0.0066688936590021,-0.0307431791828276,-0.0209976806453106,-0.0318501793081559
"max.survival.e.f",0.312272953465608,-0.000801505232948433,0.00654875632051292,0.0116415132195097,0.00903985939519505,-0.00308989297214339,0.00656507325943444,0.0109246211877565,0.00865229664824976
"mw_SD",-0.0568826824787175,-0.00408506083486418,0.0245380418325248,0.0253919500834603,0.026441672937498,0.0161633862782493,0.0246095702930725,0.0228920677153876,0.0258828129663183
"nectar_prop",0.003337884462276,0.00453880470204645,-0.00721238271687006,-0.000923922280214931,-0.005757759119558,-0.00129916928342017,-0.00834349599668646,1.70855213214291e-05,-0.00608209107953176
"p.max.nesting.life",0.0156823724492953,0.00442696678491561,-0.0046594821448316,-0.00507337218105722,-0.00580369488516569,-0.00522508394381547,-0.00475037752158757,-0.00387503692476158,-0.0053573913879263
"t.maturation",0.376791397122263,0.00389695043605067,-0.0465517816857277,-0.0890943728769951,-0.0646958543019457,-0.29469744882894,-0.0477593246467547,-0.0876897651679169,-0.0662654334257352
"TC_soil",0.00313999588066067,0.00629563783763967,0.000244411116289448,0.0024357720373785,0.00110344163196329,0.00466138396768192,-0.000779449869945866,0.00305403568196133,0.000654608204664529
"var.emerge.f",-0.395897021272121,-0.00519402183378731,0.115469551124155,0.165600147575486,0.141156295041841,0.194425150757299,0.115656199084136,0.162003306606658,0.141733372861722
"weight.prov",0.00150562808529196,-0.000760397559929906,0.00233839729185777,0.0061767217391945,0.00418293442554019,-0.000549976681806724,0.00270820113982954,0.00586348532734947,0.00436058887239771
