name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,Effects,ad.nectar.cons,ad.pollen.cons,k_CA,Transfer.mat.adult,ad.ET,TC_soil,TC_leaf,Exposure.resting.soil,GUTS,t.guts,kd_SD,bw_SD,mw_SD,kd_IT,mw_IT,Fs_IT,nectar_prop,weight.prov,Transfer.mat.dev,SM,F,SA_i,dr.intercept,dr.slope
1,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,29,0.042631498,0.496804245,1.092119072,0.856449545,0.856449545,0.578753096,-0.006134911,-0.036873013,-0.003203234,0.944171831,0.407152136,0.110111244,TRUE,221.7507603,11.41910073,0.4,TRUE,0.760138198,0.540944781,0,FALSE,GUTS-SD,10,0.415493653,0.01359225,12.24640933,0,0,0,0.715443581,266.3621722,TRUE,0,0,0,1.194701565,-0.773391576
2,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,29,0.036818287,0.471446182,1.003541884,0.954768331,0.954768331,0.503145331,-0.006014862,-0.038410325,-0.002838537,0.867631065,0.430720638,0.105117955,TRUE,218.4527038,12.15762185,0.4,TRUE,0.793628767,0.536061102,0,FALSE,GUTS-SD,10,0.363442164,0.015167034,11.72182666,0,0,0,0.614229103,264.1466277,TRUE,0,0,0,1.129562957,-0.849081908
3,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,28,0.040616944,0.507516544,1.089358164,0.783664642,0.783664642,0.53127346,-0.005599149,-0.042487987,-0.003185056,1.013828532,0.385231585,0.111154893,TRUE,219.5548568,12.19531726,0.4,TRUE,0.706871791,0.465900923,0,FALSE,GUTS-SD,10,0.387045755,0.014138652,12.23088057,0,0,0,0.636072632,249.9173918,TRUE,0,0,0,1.175640268,-0.792680508
4,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,26,0.039631671,0.556212604,1.082998656,0.953825953,0.953825953,0.49466344,-0.006569701,-0.041289464,-0.00318657,0.970698079,0.381104483,0.106737951,TRUE,192.0895073,12.08339296,0.4,TRUE,0.787914037,0.546941444,0,FALSE,GUTS-SD,10,0.390636998,0.013962936,12.78071564,0,0,0,0.615308489,295.1694836,TRUE,0,0,0,1.174144988,-0.822449426
5,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,27,0.03700658,0.509283656,0.964386563,0.813571829,0.813571829,0.528488733,-0.005983577,-0.037622188,-0.002744499,0.999088559,0.409047206,0.109747819,TRUE,227.4498715,10.5469515,0.4,TRUE,0.760482385,0.490480524,0,FALSE,GUTS-SD,10,0.386418113,0.013044178,12.73925046,0,0,0,0.725928429,245.9588733,TRUE,0,0,0,1.078986452,-0.785502681
6,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,28,0.037258521,0.51954486,0.972229522,0.921485714,0.921485714,0.515228418,-0.00570369,-0.038389346,-0.003247148,0.946176304,0.44961512,0.114584201,TRUE,201.1594999,10.76675937,0.4,TRUE,0.726034737,0.46814463,0,FALSE,GUTS-SD,10,0.407741399,0.014396197,12.66779322,0,0,0,0.637940827,288.1316994,TRUE,0,0,0,1.223477163,-0.789275911
7,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,26,0.040263457,0.495421674,0.953905666,0.874838724,0.874838724,0.502653515,-0.005765852,-0.03857283,-0.002984048,0.866653206,0.439031783,0.11383386,TRUE,214.8263519,12.17136514,0.4,TRUE,0.721304424,0.48539733,0,FALSE,GUTS-SD,10,0.379828415,0.014039529,12.6234831,0,0,0,0.700747479,273.8576556,TRUE,0,0,0,1.128438168,-0.756566892
8,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,23,0.036634368,0.470301811,0.901822253,0.909851888,0.909851888,0.574022802,-0.006496245,-0.042271329,-0.003202918,0.899504891,0.397000771,0.11758157,TRUE,201.611692,12.66600736,0.4,TRUE,0.714104621,0.537078351,0,FALSE,GUTS-SD,10,0.428943332,0.015178886,12.79039917,0,0,0,0.735632211,274.666897,TRUE,0,0,0,1.089666687,-0.790330718
9,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,25,0.042290788,0.468411853,0.92686605,0.901139301,0.901139301,0.495833997,-0.006103271,-0.037539891,-0.002928975,0.922290563,0.430378165,0.111914779,TRUE,213.4900281,10.47956102,0.4,TRUE,0.744426418,0.461522704,0,FALSE,GUTS-SD,10,0.358731037,0.014943471,13.45562078,0,0,0,0.664287815,246.9968892,TRUE,0,0,0,1.041179882,-0.842199719
10,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,23,0.037315761,0.517584075,1.078873797,0.813846852,0.813846852,0.516628957,-0.005731712,-0.039905385,-0.003205266,0.966945674,0.409278188,0.116958,TRUE,206.5229195,11.51017859,0.4,TRUE,0.705467873,0.518812358,0,FALSE,GUTS-SD,10,0.374714994,0.013711924,13.24531053,0,0,0,0.639465463,262.2874134,TRUE,0,0,0,1.098722793,-0.800162463
11,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,26,0.040191251,0.483585475,0.900322821,0.833360629,0.833360629,0.551110735,-0.005534039,-0.03928624,-0.003193179,0.99291249,0.433924249,0.108112146,TRUE,190.2315924,12.63283608,0.4,TRUE,0.75237762,0.523500532,0,FALSE,GUTS-SD,10,0.412717419,0.01350148,11.72009281,0,0,0,0.607186166,281.1016206,TRUE,0,0,0,1.113996197,-0.806371914
12,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,26,0.036724176,0.492554613,0.988178244,0.905456919,0.905456919,0.541211164,-0.005454103,-0.04440587,-0.002984674,0.8875673,0.41692673,0.122457111,TRUE,204.5048443,10.91761229,0.4,TRUE,0.801007103,0.497768294,0,FALSE,GUTS-SD,10,0.418664013,0.015049842,11.91331617,0,0,0,0.728253897,263.5647755,TRUE,0,0,0,1.132316402,-0.861529915
13,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,23,0.037845951,0.462690513,0.96309119,0.881751477,0.881751477,0.503455836,-0.005604005,-0.039444996,-0.003144098,0.855670319,0.410617335,0.117830436,TRUE,222.0140574,11.96022165,0.4,TRUE,0.699611075,0.503772521,0,FALSE,GUTS-SD,10,0.369414084,0.014645644,13.10623418,0,0,0,0.638369686,274.7488629,TRUE,0,0,0,1.214034519,-0.767079065
14,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,25,0.041004161,0.473185176,1.010715609,0.944620577,0.944620577,0.564006835,-0.005436893,-0.043253725,-0.00270893,0.971368224,0.425186027,0.119311005,TRUE,206.5662889,12.02209126,0.4,TRUE,0.721753148,0.484978783,0,FALSE,GUTS-SD,10,0.417589807,0.012609443,13.98637785,0,0,0,0.637954995,279.1889952,TRUE,0,0,0,1.131369128,-0.733296824
15,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,26,0.040248487,0.497338637,0.923777125,0.89254624,0.89254624,0.593966545,-0.006596543,-0.042384308,-0.003195161,0.848904659,0.427263112,0.124669092,TRUE,193.1331911,11.31369039,0.4,TRUE,0.761400125,0.546792796,0,FALSE,GUTS-SD,10,0.412812288,0.013077864,12.92006002,0,0,0,0.670928458,287.8122325,TRUE,0,0,0,1.260682617,-0.859674961
16,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,25,0.038639999,0.532654305,0.991709245,0.921928531,0.921928531,0.578413256,-0.006296674,-0.038794662,-0.002800885,1.003231151,0.414818261,0.116233031,TRUE,202.1001382,12.3624923,0.4,TRUE,0.713673654,0.54624917,0,FALSE,GUTS-SD,10,0.426537099,0.015334849,14.21327163,0,0,0,0.649692798,256.3455688,TRUE,0,0,0,1.201721732,-0.788904379
17,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,24,0.041928304,0.498163949,1.093313345,0.810413328,0.810413328,0.54713498,-0.006394994,-0.040534137,-0.002894486,0.95390523,0.408637298,0.122420227,TRUE,214.1320668,12.59464377,0.4,TRUE,0.80777319,0.505696091,0,FALSE,GUTS-SD,10,0.39086369,0.014562264,13.55450236,0,0,0,0.700940227,265.474116,TRUE,0,0,0,1.107460561,-0.850678193
18,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,24,0.04204249,0.490501541,1.005651938,0.931166197,0.931166197,0.595261367,-0.005692209,-0.036954381,-0.003217601,1.007136281,0.437689533,0.107650394,TRUE,210.9809329,11.89230471,0.4,TRUE,0.766290515,0.502072358,0,FALSE,GUTS-SD,10,0.410745245,0.015015381,13.4440084,0,0,0,0.664328346,254.7656369,TRUE,0,0,0,1.040459756,-0.835748382
19,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,25,0.037522375,0.530179869,1.070119674,0.877759902,0.877759902,0.513083976,-0.005951597,-0.042126038,-0.003290906,0.917507008,0.446428212,0.105508171,TRUE,218.350848,10.70887319,0.4,TRUE,0.794694959,0.531659774,0,FALSE,GUTS-SD,10,0.397565547,0.01299203,11.82712192,0,0,0,0.735600184,265.3815791,TRUE,0,0,0,1.18794704,-0.785450504
20,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,25,0.03687665,0.528603982,1.033059067,0.890062361,0.890062361,0.493254386,-0.006201409,-0.039392884,-0.003192779,0.995393113,0.39887372,0.116056633,TRUE,202.3710966,12.689022,0.4,TRUE,0.75212046,0.450730641,0,FALSE,GUTS-SD,10,0.356133314,0.014218368,13.4049734,0,0,0,0.718052381,267.5271528,TRUE,0,0,0,1.258266709,-0.789822148
21,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,27,0.043447797,0.49709822,0.937412081,0.880446683,0.880446683,0.527487062,-0.006351316,-0.041609551,-0.003151813,1.02652399,0.422367319,0.118175666,TRUE,225.0235839,11.77248146,0.4,TRUE,0.775793448,0.473582152,0,FALSE,GUTS-SD,10,0.412260426,0.01285292,11.76864347,0,0,0,0.612871022,266.1787061,TRUE,0,0,0,1.112116448,-0.865842819
22,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,26,0.036620804,0.509034779,0.928087993,0.829836056,0.829836056,0.575696965,-0.005784908,-0.041187738,-0.003227362,0.98346176,0.391996507,0.112469248,TRUE,227.0397725,12.11863313,0.4,TRUE,0.708269254,0.518984642,0,FALSE,GUTS-SD,10,0.373057966,0.014093072,12.10389585,0,0,0,0.727975319,288.8037932,TRUE,0,0,0,1.16237252,-0.725312091
23,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,25,0.038739542,0.491465975,0.903583948,0.881032963,0.881032963,0.531013351,-0.006003514,-0.040213716,-0.002887601,0.997152341,0.453265873,0.123782491,TRUE,215.3167386,12.32686826,0.4,TRUE,0.715887861,0.510912183,0,FALSE,GUTS-SD,10,0.396666623,0.014510945,12.42612658,0,0,0,0.603136484,261.1565713,TRUE,0,0,0,1.229571209,-0.7747643
24,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,29,0.036478672,0.460948687,1.019116861,0.896795591,0.896795591,0.576272301,-0.006027446,-0.041058787,-0.003205539,0.944319557,0.38111758,0.105945426,TRUE,189.850778,10.79766759,0.4,TRUE,0.715772961,0.480866026,0,FALSE,GUTS-SD,10,0.382951478,0.014407168,12.9730876,0,0,0,0.69368888,270.9229491,TRUE,0,0,0,1.08912198,-0.776731361
25,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,29,0.041167156,0.487284196,1.085380019,0.802140203,0.802140203,0.571489004,-0.006348947,-0.037684736,-0.003223855,0.875134357,0.421449694,0.111600755,TRUE,207.5495786,11.7018693,0.4,TRUE,0.772126052,0.500891854,0,FALSE,GUTS-SD,10,0.37442351,0.013134316,13.41609964,0,0,0,0.700774927,289.0120367,TRUE,0,0,0,1.132530116,-0.805931968
26,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,27,0.038274073,0.509152622,0.905384271,0.855799884,0.855799884,0.541489715,-0.005871731,-0.041362977,-0.002827853,0.945403068,0.448539523,0.110005581,TRUE,228.4726497,11.66989125,0.4,TRUE,0.761593382,0.541620132,0,FALSE,GUTS-SD,10,0.382923632,0.014070105,11.91875375,0,0,0,0.641055764,290.8248522,TRUE,0,0,0,1.242388129,-0.768519713
27,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,2,14,27,0.037459131,0.542401054,0.979670901,0.840052984,0.840052984,0.499954958,-0.005866913,-0.038792318,-0.002759815,1.006323255,0.424950021,0.124805452,TRUE,215.8241719,11.5899966,0.4,TRUE,0.753330363,0.458336308,0,FALSE,GUTS-SD,10,0.379766727,0.01325764,12.77025151,0,0,0,0.642837853,259.3392853,TRUE,0,0,0,1.213658276,-0.839464853
28,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,28,0.042886659,0.537068336,1.046924802,0.875987483,0.875987483,0.502340831,-0.006134144,-0.042082195,-0.00284972,0.947424335,0.440359744,0.112036836,TRUE,193.7210296,10.503487,0.4,TRUE,0.740825593,0.500172668,0,FALSE,GUTS-SD,10,0.427557406,0.012627983,14.29342355,0,0,0,0.71736807,246.3378626,TRUE,0,0,0,1.185148451,-0.84710029
29,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,27,0.03918843,0.53270033,0.910385549,0.878994759,0.878994759,0.504833826,-0.006437126,-0.043809196,-0.002814821,0.91561389,0.461162559,0.116091731,TRUE,202.4178285,10.49001707,0.4,TRUE,0.792858751,0.52907924,0,FALSE,GUTS-SD,10,0.390010246,0.014496836,12.81484335,0,0,0,0.707773745,247.7430507,TRUE,0,0,0,1.158425775,-0.787719342
30,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,29,0.041804199,0.551606026,0.937872971,0.847107168,0.847107168,0.56602842,-0.005973546,-0.040826812,-0.00311989,1.008854569,0.444491349,0.109317141,TRUE,221.390738,10.44203446,0.4,TRUE,0.74235746,0.530138262,0,FALSE,GUTS-SD,10,0.40177131,0.014349319,12.35350033,0,0,0,0.6782822,256.8281871,TRUE,0,0,0,1.120244245,-0.781614035
31,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,1,14,28,0.039204054,0.517116126,1.094647465,0.922857559,0.922857559,0.569851652,-0.005813865,-0.042088805,-0.002932318,1.021522582,0.378588214,0.111211641,TRUE,225.8557664,10.67388203,0.4,TRUE,0.702743782,0.45112235,0,FALSE,GUTS-SD,10,0.357511095,0.013478029,14.23977004,0,0,0,0.679169038,262.3491969,TRUE,0,0,0,1.18833976,-0.832537456
