"var","bees.emerged.yr.R","f.emerged.yr.R","m.emerged.yr.R","bees.nesting.R","sum.cells.R","sum.f.cells.R","sum.m.cells.R","deaths.exp.in.y","deaths.exp.ad.y"
"a.cell.age",0.00208008842193157,-0.00090830588012176,0.00333508214459831,-0.000548953150515049,0.00224178942019036,-0.000309401806471446,0.00305318199344072,-0.00311013082621389,-0.00269828831681751
"a.cell.resource",-0.000114290311105269,-0.00108238728895404,0.00029776636203276,-0.000369692441126077,-0.000573321968819343,-0.00101824663938296,-0.000152267473497174,-8.87531367634267e-05,-0.00707716416108431
"a.sex.age",-0.0016843453713302,-0.00657379608944808,-0.000167747352334784,0.00330353305699316,-0.0012263567629772,-0.00600990922355878,-0.000174299425539634,-0.000175323659788271,-0.00142719404618217
"a.sex.resource",-9.79556783028244e-05,0.00131113052263407,-0.000700119327018409,0.00190617161434571,0.000792392732993179,0.00178978534127306,0.00034227802586739,0.00530467177198221,-0.000552608280644935
"a.size.age",-0.00908990096833872,-0.00687764824284418,-0.0096716381540326,-0.00490395365344455,-0.00904746017140182,-0.00651939750960035,-0.00988664754623912,0.00563142196508131,0.00483440513352009
"a.size.resource",0.000368968878216898,0.000962872213831383,0.000374484664153292,3.46699794135129e-06,0.00106124213402663,0.00152641487223973,0.00123454912753115,-0.00249921832138298,0.00188467076224602
"ad.ET",0.00179731461401742,0.00174086506536102,0.00146663989251077,-0.000907614959149597,0.00146926960303172,0.00210108514363744,0.00088521291582427,-0.00350624022515216,-0.00355282571425784
"ad.nectar.cons",-0.0501823069960293,-0.0540985907375835,-0.0444716803285061,-0.0512663404639734,-0.0496330263491151,-0.0546195541119701,-0.0439059703873951,0.000884155029782687,0.103263016851186
"ad.pollen.cons",-0.00448669890892812,-0.00593504894323129,-0.00368851773530174,-0.00402531344467807,-0.00374131356020059,-0.00469836022883283,-0.00321823304964966,-0.00247399135270625,-0.00114232666610018
"dr.intercept",0.00448412024142011,0.00616135481990061,0.00341251621499591,0.00636443627688989,0.0038603066795523,0.00637618577164798,0.00263797181084261,0.00371918906994035,0.000482414841544104
"dr.slope",0.00193635838802876,-0.000459270298775574,0.00284128226483715,-0.00638237350703895,0.000967118754023964,-0.000796973393164296,0.0016403017414828,0.00307400699159626,0.00146805918919528
"emerged.survival",-0.00440405692144047,-0.00187003479893913,-0.00586220567344281,-0.000360253092646636,-0.00532782311997707,-0.00338149057986654,-0.00640069623686784,0.0032893702409006,0.051792448168103
"Fs_IT",0.0216662447793081,0.0199481150948989,0.0208094820758755,0.0251328310642195,0.0208869636305304,0.0198622834220337,0.019853589888359,0.00454446689487601,-0.0499532956642279
"kd_IT",-0.0455066843888851,-0.0500017240890662,-0.0400425493516692,-0.0531793051135568,-0.0462243873513417,-0.0527047473531645,-0.0402237615290075,0.00354450347747341,0.101673888074901
"max.cells",0.0091280313052267,0.00953709193546982,0.00861406622141283,0.0133619456868836,0.00688216811189338,0.0100311130939231,0.00509690639454178,-0.00440365452354435,-0.00294917682503902
"max.f.ratio",0.00370039088795563,0.0011447276473904,0.00175381025423811,-0.00327286449587481,0.00361604774854722,0.000754763261131955,0.00163493507097669,-0.000893705843491795,-0.000442453077920923
"max.nesting.life",-0.00631028075155416,-0.00350001745366529,-0.0057521733215369,0.00785943073174635,-0.0063789989346924,-0.0038840636296903,-0.00562631026224857,0.00581608020386798,0.00270623771455737
"max.survival.e.f",0.00630169655413951,0.00739931753694514,0.00618487442071628,0.00973625052467607,0.00643061009571629,0.00686861746187901,0.00638353795271044,-0.000553941150927582,0.372700141969987
"mw_IT",0.0490009926053175,0.0524824476416485,0.0434844900887522,0.0577044762455472,0.049080021749368,0.0534032440071821,0.0436654060988452,0.000756039412386205,-0.102701586758495
"nectar_prop",0.00341764248227996,0.00221895022475901,0.00383634860987339,0.00611182341988866,0.00377851316873786,0.00245621290270117,0.00412472533600161,-0.00577526814256591,0.000855465340393506
"p.max.nesting.life",-0.0044524461376421,-0.00311372123581658,-0.0043197823590775,-0.00237003924020816,-0.00556566962892335,-0.00391919423669332,-0.00566107828356467,-0.00248459354271313,0.00648832237867205
"SM",-0.00880024580951589,-0.00452023476396158,-0.00984692078671781,-0.000250146709846142,-0.00931279515181991,-0.00593314218674935,-0.0101915196360262,0.00616957036175622,-0.00203183727752337
"t.maturation",-0.0174058145964063,-0.0389197246164789,-0.00480241400033168,-0.326451540318088,-0.0165227871131706,-0.0395478472761011,-0.00396089726743885,0.0046905142237593,0.308913305039947
"TC_soil",-0.00358197769699694,-0.00241087810434444,-0.00383363698980693,-0.000478151171354697,-0.00324767452623239,-0.00291187946197496,-0.00318487536491138,-0.000635173387513668,-0.00196872807871052
"var.emerge.f",0.0781753271628336,0.117822870222098,0.0521431732254867,0.370153147150604,0.0763093092524527,0.118917856927827,0.0506307927427601,7.23023148199853e-06,-0.412489107920049
"weight.prov",0.00334537545355947,0.00200686348443225,0.00348694241805286,0.00333849626379095,0.00297032661942177,0.00259400292188568,0.00271343241007602,0.00156955652444214,-0.0044553166256305
