"var","bees.emerged.yr.R","f.emerged.yr.R","m.emerged.yr.R","bees.nesting.R","sum.cells.R","sum.f.cells.R","sum.m.cells.R","deaths.exp.in.y","deaths.exp.ad.y"
"a.cell.age",-0.00224679522176412,-0.00177651436784353,-0.00195488230857831,-0.000958689491872109,-0.00145111097984433,-0.00120368184408509,-0.00125952653314302,0.00334377377860821,-0.0005107203084658
"a.cell.resource",0.00208578164525037,0.00217019625806614,0.00191995200967615,0.00192579564008992,0.00190205097638038,0.00281177033820538,0.00144233430468936,7.81735770583038e-05,-6.07552612385718e-05
"a.sex.age",0.00484335807335235,0.00215683855459001,0.00459988874885017,0.00402067639472127,0.00380148945734183,0.000544578033193282,0.0037866704777526,0.000199721808521823,-0.00197656433333033
"a.sex.resource",-0.00157275823413991,0.00182204568822832,-0.00309145253204515,0.00513148943207715,-0.00176613015666079,0.00107083460066844,-0.00291967008713393,-0.00561997634192862,-0.000416336134740795
"a.size.age",-0.00230011516991032,-0.00195339461335429,-0.00172808455114857,-0.00322240494032529,-0.00165175565016829,-0.00162547449285391,-0.0011715372707052,-0.00617220715323275,0.00584515762977463
"a.size.resource",0.00451227248098119,0.0073855914881115,0.0029238881949062,0.00348679396153385,0.0040821547407116,0.00621882745972195,0.00282537984435481,0.00287010407222806,0.000831229577563483
"ad.ET",-0.00430047518965231,-0.004002240675231,-0.00407704162548755,-0.00539663010157161,-0.00491099201682385,-0.00351970476396611,-0.00511694818333689,0.00363181490448115,-0.00595126302592083
"ad.nectar.cons",-0.0759513727433672,-0.0789676791012418,-0.0693276521715632,-0.0779087844814334,-0.0753004220840201,-0.0802613798869131,-0.0683392282149623,-0.000834521624047903,0.148155818415862
"ad.pollen.cons",-0.00137053304547568,-0.00284178630615647,-0.000826676055319551,-0.00323425883715986,-0.00163862012980071,-0.00363790697279203,-0.000879514606017728,0.00277278344028505,0.00172487912938001
"bw_SD",-0.0246874604042838,-0.0271032112191624,-0.0219455343304139,-0.0307456789443646,-0.0249985851234666,-0.0292525513319409,-0.0215500064316806,-0.00104017057910136,0.0569880575400224
"dr.intercept",0.00510660312100916,0.00452031098567167,0.00487127740330319,0.00742417293102525,0.00487261000221821,0.00507446429417733,0.00457870721536795,-0.00423536504982856,0.00188859267196668
"dr.slope",-0.00155011641028383,-0.00628014720576523,0.000769362177631036,-0.00511383388558164,-0.00189648629209018,-0.0055377956094677,1.81852370375644e-05,-0.00345594227098962,0.0033882894414884
"emerged.survival",-0.00325985862843552,-0.00300294298287367,-0.00321396830829939,-0.00101321863958071,-0.00367324716493307,-0.00367348808236211,-0.00339002815700808,-0.00344338846965107,0.0460394885236376
"kd_SD",-0.0319692035046123,-0.0368087099670839,-0.0272562428396927,-0.0485909050782869,-0.0320675724639174,-0.038463274963425,-0.027003264566682,-0.00392266243735135,0.0661925994046624
"max.cells",0.00495491945463235,0.00234341571431374,0.00630799299179884,0.00235201193231266,0.00367686882275404,0.00287742890379944,0.00407869642705876,0.0048143087399692,0.000106078385646017
"max.f.ratio",-0.00369029057496175,-0.00643991225582336,-0.00581635791602119,-0.00554700317103767,-0.00261674630001198,-0.00447823079244118,-0.00515061413697456,0.000860837362340279,-0.00162276438092121
"max.nesting.life",-0.00518098862702974,-0.0033521249557864,-0.00434606843737866,0.00477725978096713,-0.00572649773893673,-0.00478449299494859,-0.00445713816728,-0.00613984032261959,0.00333992756697948
"max.survival.e.f",0.0175227061772054,0.0188604836153234,0.0163763810842188,0.0188857402761931,0.0177551186961428,0.0195287316735332,0.0163059204500406,0.000665284637310738,0.355865278494462
"mw_SD",0.0493864396698903,0.0530536523979491,0.0443408132738749,0.0544875990473646,0.0487849057414277,0.0528640223984703,0.0440878988939952,-0.00521939917069323,-0.102539928319328
"nectar_prop",-0.00368611718415237,-0.00146303883795503,-0.00422730753966775,-0.00239026063037883,-0.00337815579962047,-0.00272215443163425,-0.00314091962690725,0.00637165976797358,0.000123025334263574
"p.max.nesting.life",-0.00179609157358206,-0.00199653834361456,-0.000782102406188332,0.00155019631450387,-0.00214623770866937,-0.0024168926189388,-0.00116534449408355,0.00268138867880475,0.00162350824527486
"SM",-0.00854834509838813,-0.00442320239142409,-0.0103307646307663,-0.00313473470902084,-0.00852885613755715,-0.00563111054206865,-0.00959864593431881,-0.00672124713292595,0.00261350872092039
"t.maturation",-0.0404122303263683,-0.0695755531802596,-0.0226183340515037,-0.343575040827941,-0.0392290250654224,-0.0704579318196965,-0.0215245779164699,-0.00520219193908684,0.323896424253046
"TC_soil",-0.00368707149335434,-0.00273725589503316,-0.00425681471805087,-0.00826743391852085,-0.00329204075244187,-0.00224747153840793,-0.00398305720626422,0.000537099131146851,0.00114684279551957
"var.emerge.f",0.105715384043233,0.146810853867134,0.0771891510557516,0.427639689176483,0.104989494112707,0.149882939131036,0.0764767711880017,-7.07430365367178e-05,-0.455195192741113
"weight.prov",0.00213984050088485,0.00278124594936344,0.00180971016304121,0.00330299458767346,0.00240004699346461,0.00261923892499802,0.00229092534960385,-0.00168059874990056,-0.00177937223377679
