name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,Effects,ad.nectar.cons,ad.pollen.cons,k_CA,Transfer.mat.adult,ad.ET,TC_soil,TC_leaf,Exposure.resting.soil,GUTS,t.guts,kd_SD,bw_SD,mw_SD,kd_IT,mw_IT,Fs_IT,nectar_prop,weight.prov,Transfer.mat.dev,SM,F,SA_i,dr.intercept,dr.slope
1,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,2,21,32,0.041547121,0.596868418,2.671736252,0.747630594,0.747630594,0.516606543,-0.005708708,-0.040615536,-0.003263296,0.939997095,0.382778896,0.118231786,TRUE,205.0474018,12.06953778,0.4,TRUE,0.076147031,0.505180483,0,FALSE,GUTS-SD,10,0.367678431,0.013912929,12.09062609,0,0,0,0.848287514,300.5792654,TRUE,169.9084496,0,0,1.0883289,-0.825844583
2,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,4,21,39,0.039518266,0.596702879,2.487885838,0.81356192,0.81356192,0.50979242,-0.00555305,-0.039108425,-0.0028322,1.014253564,0.456196272,0.121202536,TRUE,189.447455,11.75697591,0.4,TRUE,0.067408391,0.502031988,0,FALSE,GUTS-SD,10,0.35376009,0.013912278,12.87484037,0,0,0,0.831261088,303.7194756,TRUE,174.2770255,0,0,1.24631067,-0.862508551
3,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,4,21,40,0.03660572,0.568116628,2.212103952,0.808481545,0.808481545,0.578161578,-0.005980963,-0.043105007,-0.003257981,0.864707856,0.429087865,0.103564783,TRUE,200.8685543,10.46314334,0.4,TRUE,0.06861339,0.516251788,0,FALSE,GUTS-SD,10,0.36424954,0.014607659,13.49300022,0,0,0,0.809461166,309.6757483,TRUE,186.5018607,0,0,1.154097306,-0.733258626
4,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,2,99,2,365,8,32,68,2,21,32,0.037375286,0.555195309,2.231917724,0.770419081,0.770419081,0.531338177,-0.006187903,-0.0375485,-0.003207277,0.848592587,0.384485606,0.115613156,TRUE,191.1251211,12.5481871,0.4,TRUE,0.065675482,0.498679064,0,FALSE,GUTS-SD,10,0.39478271,0.014532289,13.28643269,0,0,0,0.796179014,295.393329,TRUE,193.584924,0,0,1.03965436,-0.726835048
5,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,4,21,33,0.042575656,0.621669728,2.911668178,0.703391075,0.703391075,0.508207143,-0.005540258,-0.043791892,-0.002767659,0.995486502,0.437824838,0.120017875,TRUE,212.167798,11.16151289,0.4,TRUE,0.073777691,0.543767379,0,FALSE,GUTS-SD,10,0.42538979,0.013884655,12.21717516,0,0,0,0.817324325,302.613852,TRUE,188.8584493,0,0,1.203062272,-0.750965584
6,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,4,21,40,0.042220613,0.582097755,1.749794454,0.789055791,0.789055791,0.564288383,-0.005993385,-0.04276602,-0.002883663,0.94834491,0.416950935,0.112722884,TRUE,223.7850699,11.65531975,0.4,TRUE,0.071407563,0.490167155,0,FALSE,GUTS-SD,10,0.414256417,0.012654446,12.56882557,0,0,0,0.841447024,322.1329608,TRUE,197.0903292,0,0,1.102312193,-0.749369638
7,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,2,99,2,365,8,32,68,4,21,33,0.038065234,0.545938753,1.080974684,0.721461408,0.721461408,0.534238585,-0.005434358,-0.043671076,-0.002833603,0.929588787,0.392320624,0.112242707,TRUE,223.2708141,11.85015795,0.4,TRUE,0.07863501,0.482723559,0,FALSE,GUTS-SD,10,0.367254152,0.015030098,13.8540145,0,0,0,0.763054481,291.4777909,TRUE,190.4790552,0,0,1.074967815,-0.854455336
8,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,2,99,2,365,8,32,68,3,21,38,0.036223974,0.56150503,1.890014064,0.722374324,0.722374324,0.586376567,-0.005949564,-0.042916023,-0.00312746,0.956747335,0.406067649,0.108728124,TRUE,198.2317117,12.70626087,0.4,TRUE,0.070858103,0.477692836,0,FALSE,GUTS-SD,10,0.408475403,0.014185625,12.02835969,0,0,0,0.845078188,292.4604383,TRUE,196.6205825,0,0,1.268187985,-0.806922168
9,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,4,21,33,0.039722809,0.571243211,1.485290644,0.755553158,0.755553158,0.567406545,-0.005642486,-0.042987653,-0.003253008,0.916456786,0.393034344,0.120986496,TRUE,200.1126506,12.72229835,0.4,TRUE,0.072434149,0.501428974,0,FALSE,GUTS-SD,10,0.415632383,0.014894336,11.97902991,0,0,0,0.822371714,306.7735857,TRUE,178.3571264,0,0,1.068519273,-0.821215755
10,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,4,21,34,0.043282905,0.576852474,2.406972536,0.770144871,0.770144871,0.543434598,-0.006188913,-0.043655327,-0.002759927,0.926860542,0.430932837,0.119467611,TRUE,223.534604,10.44749389,0.4,TRUE,0.065521641,0.450909979,0,FALSE,GUTS-SD,10,0.427612363,0.013184081,13.83349865,0,0,0,0.776406533,285.3002217,TRUE,183.9005808,0,0,1.177760815,-0.730818096
11,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,2,21,36,0.039081038,0.636599254,1.055445294,0.754839091,0.754839091,0.54157277,-0.005836479,-0.042012242,-0.002976655,0.897590282,0.438227194,0.107501174,TRUE,225.9073073,10.68255187,0.4,TRUE,0.066287295,0.488277572,0,FALSE,GUTS-SD,10,0.369604511,0.015155407,12.0244764,0,0,0,0.716222356,280.0208624,TRUE,197.8674217,0,0,1.200072616,-0.806639033
12,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,2,21,35,0.039278492,0.605539458,1.567828902,0.693815935,0.693815935,0.492492701,-0.00611859,-0.042571431,-0.002848439,0.888039899,0.42405931,0.113414624,TRUE,195.8999023,11.3051127,0.4,TRUE,0.074609609,0.465529839,0,FALSE,GUTS-SD,10,0.408799929,0.013849848,13.54469266,0,0,0,0.714892172,315.7740089,TRUE,195.6795413,0,0,1.07774039,-0.770270443
13,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp1_Osmia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,3,21,34,0.039750753,0.566753409,2.723772392,0.697613932,0.697613932,0.596213134,-0.00621132,-0.039726208,-0.003238303,1.011253275,0.402791824,0.120880395,TRUE,214.8097005,11.30203957,0.4,TRUE,0.075158859,0.526021944,0,FALSE,GUTS-SD,10,0.415674627,0.013430956,13.94972772,0,0,0,0.820736746,314.4193391,TRUE,171.6377485,0,0,1.095818755,-0.743518195
