"var","bees.emerged.yr.R","f.emerged.yr.R","m.emerged.yr.R","bees.nesting.R","sum.cells.R","sum.f.cells.R","sum.m.cells.R","deaths.exp.in.y","deaths.exp.ad.y"
"a.cell.age",-0.0110219510373032,-0.0118042700376222,-0.00935971512522205,-0.0117391896275868,-0.0104426677004198,-0.0113189687795935,-0.00829518940055508,0.00173556709602714,0.010070045512141
"a.cell.resource",0.0019714320639511,-0.000724654085745982,0.00317382822759402,0.00357780278129604,0.00196509453052299,-5.1733546534558e-05,0.0026959033117634,-0.000229432614776215,-0.000868932521280778
"a.sex.age",0.00625789121139714,-0.0389079693959099,0.0204410215286848,-0.00330564344710925,0.0051647489758019,-0.0434870509807117,0.0207127707461702,-0.0101727695432475,-0.00106435881908524
"a.sex.resource",0.00136183595569871,-0.00362379947057693,0.00371821392469859,0.0125532705586654,0.00105630814189145,-0.00257634811028672,0.00354584940590947,0.00221280246559481,-0.00374293759405861
"a.size.age",-0.0103296253657096,-0.00703793434150118,-0.0119028375069469,0.000760478078741417,-0.00866241005250411,-0.00765418393392844,-0.00951202755825927,0.00686193498465335,-0.00502469939727362
"a.size.resource",0.00421077529962339,-0.00602331830376734,0.00756711244894341,-0.00880589495413809,0.00682534484318744,-0.00135764953218807,0.00861553437041853,0.00355223606681578,0.0124869552482005
"ad.ET",-0.00606668838824878,-0.010555297920719,-0.00314494482062044,-0.0045816596817523,-0.00493311798740206,-0.00776728104012715,-0.00295419032678069,-0.000779273593992842,0.00384204754024265
"ad.nectar.cons",-0.111408277164241,-0.0995443754696606,-0.104937849132524,-0.128368489359634,-0.112418355438716,-0.103926880302095,-0.10654880203504,-0.00678260692902589,0.229245168364658
"ad.pollen.cons",-0.0148063107757654,-0.0136993457625293,-0.0136855789430349,-0.0140040843458814,-0.0140267424797307,-0.0128213264486104,-0.0125767553333407,0.00171092968609526,0.0415602749818937
"bw_SD",-0.0146863548143865,-0.0102430988521302,-0.0147505128633,-0.0220117608486205,-0.0157754667806333,-0.0102772453953534,-0.0171898377924871,0.00228249632333489,0.0540310828123902
"dr.intercept",0.0123036533550086,0.0135227592507873,0.0097838026068835,0.00261791914282531,0.0111196171378478,0.0127673650388992,0.00903740474486469,-0.00279713120705909,-4.08639727667818e-05
"dr.slope",-0.00875349183103228,-0.00970640427619277,-0.0059122039796285,-0.000783926318754388,-0.00799484240044738,-0.00791683480395381,-0.00592402574048698,-0.00179684025100492,0.00165592091027683
"emerged.survival",0.00189493825371753,0.0025585392009337,0.00212609419194205,-0.00308992023399886,0.0018055224095226,0.00259615106577715,0.00225886203309727,-0.00708551487632542,0.146041790349549
"kd_SD",-0.0340645033317361,-0.0319263953324756,-0.0316999344988517,-0.0407816758798503,-0.0351561913524227,-0.0347507887565102,-0.0323065725395366,-0.0070579371255426,0.0861570057932279
"max.cells",0.00444764183434117,0.00486590419071314,0.00402665701665898,-0.000529616721120539,0.00530070567255531,0.00669328781593399,0.00433113720402132,-0.00992038513855313,-0.00779038461178235
"max.f.ratio",-0.000417966436634968,-0.00374010489446031,-0.00583006299623391,0.00422007558090327,0.00128917043943607,-0.00267981671023945,-0.00402206714326062,0.00308952746827955,-0.00922610054338255
"max.nesting.life",-0.0161291464777401,-0.00760210957768756,-0.0166126076932536,0.00913929873164153,-0.0187927149049972,-0.0105768473054952,-0.0190106912465054,-0.00809971140954697,0.04216255404594
"max.survival.e.f",0.0126748720326125,0.0159322824111367,0.0099441835718093,0.0166859388840035,0.00937528684811088,0.0111321375177562,0.00789691559757701,0.000541618051479268,0.267684867566168
"mw_SD",0.0249944736414854,0.0213710237882473,0.0231546825202188,0.0303249778714508,0.0239124295743291,0.0223425416628388,0.0214661932411016,0.00546648098866177,-0.0490375539457038
"nectar_prop",0.00252331414595327,0.00268116337186672,0.00249153401686604,0.00153874212281773,0.00227927052087814,0.00448292201200286,0.00114263992811118,-0.00731419109004944,-0.00106748518822992
"p.max.nesting.life",-0.0308187385593181,-0.0195904810181417,-0.0307341682622106,0.00263174452139727,-0.0315191313687928,-0.0214758023784798,-0.0315275881299506,-0.0067017407044578,0.0772680142740023
"t.maturation",-0.186323255569708,-0.210144735031179,-0.155441954341928,-0.614520728428494,-0.187069286977213,-0.216245798139531,-0.157932660029663,-0.00534459691276547,0.628022115880416
"TC_soil",0.0015957952329797,0.00274331690737996,0.00229016084799807,-0.00312127679556222,0.000905362634023185,0.00142178927605285,0.00147295707469317,-0.00948615412284927,0.00700843659827765
"var.emerge.f",0.290201517966536,0.304587148521685,0.251336829964859,0.56101450316634,0.290991450554636,0.314618574465619,0.253907252208589,0.00956378103350757,-0.660202952254893
"weight.prov",0.00330759701585386,0.00723743947532188,0.000885569468549491,0.00927721448494245,0.00450330069645735,0.00539621088032508,0.00356557259897648,0.000483627253228227,-0.000747134723683331
