"var","bees.emerged.yr.R","f.emerged.yr.R","m.emerged.yr.R","bees.nesting.R","sum.cells.R","sum.f.cells.R","sum.m.cells.R","deaths.exp.in.y","deaths.exp.ad.y"
"a.cell.age",0.00674692230537225,0.00600436321826935,0.0077031366965341,0.00313912974954118,0.00651497050655075,0.00625462868543304,0.00682145486226378,0.00341865367464767,-0.00626683555887581
"a.cell.resource",0.00885787960618897,0.0115540513623123,0.00601558544452939,0.0116897571315163,0.00950946056211737,0.0130699446665031,0.00599236962339094,5.47410918295322e-05,-0.0154075389482241
"a.sex.age",-0.000902467099124173,-0.0178027176987791,0.00354313420491292,0.00480249732888696,-0.000472936878076182,-0.0177709403226011,0.00403942977242548,0.000112407426938886,-0.0149782479098989
"a.sex.resource",-0.00846785762441021,-0.00850851514755063,-0.00742320085629999,-0.00806519237936699,-0.00840056987464412,-0.0095356934517428,-0.00674364194331567,-0.00581974649226517,0.00720621470457866
"a.size.age",-0.0124513758806255,-0.0145104705501508,-0.00975513161364714,-0.0104904562859597,-0.0107166244662845,-0.0139415711968829,-0.00818060340266431,-0.00599117531934006,0.0125370727008614
"a.size.resource",-0.00186724853667568,-0.0035382811874965,-0.00248484242543206,-0.00760266057329115,-0.00258524167671494,-0.00403312545704675,-0.00326892491090354,0.00280135364551938,0.00526440127069017
"ad.ET",-0.00906993654968247,-0.00832636128750422,-0.00885467965773472,-0.00607625219438778,-0.00932237123236044,-0.00904755377207963,-0.00890099492479195,0.00365258552024708,-0.00423121118601002
"ad.nectar.cons",-0.106269580574479,-0.113958150169933,-0.0921346597178926,-0.11716778298879,-0.105960461422521,-0.114220454395819,-0.0927025493410613,-0.00100280467566474,0.16761954684327
"ad.pollen.cons",-0.0154497515610926,-0.0153893063241595,-0.0155457662755944,-0.0109510814236141,-0.0145188126997301,-0.0139788715783756,-0.0156014769745726,0.00248654903605886,0.0109231523190285
"dr.intercept",-0.002242270834683,-0.00231213938018977,-0.00337840389101465,0.00277858889674268,-0.00230441708294556,-0.00170207697073647,-0.00379752417383314,-0.00412629499825071,-0.0013763291782212
"dr.slope",-0.00756803167092513,-0.00796093391759565,-0.00789608612805882,-0.00857668012526704,-0.00586516371358495,-0.00626292922332704,-0.00666645442203162,-0.00354133347877392,0.00238899743002523
"emerged.survival",-0.00304402358202835,-0.0060504901034925,-0.000509277464934569,-0.00841258360304503,-0.00317411245983927,-0.00494810776357031,-0.00164698284524352,-0.00355698704676352,0.0709564995646728
"Fs_IT",0.0112004668728708,0.0107299733414479,0.00957744636306478,0.0122645549779444,0.0112693563167293,0.0101558207495637,0.0105559594835787,-0.00491149307391144,-0.0143764112455384
"kd_IT",-0.319783393834924,-0.335138181625736,-0.283866862252495,-0.358678390251737,-0.320150407538776,-0.340303192486505,-0.284193467859886,-0.00394960322437901,0.473829023521013
"max.cells",0.000731046098169189,0.0042912118602925,-0.00133475708066955,0.00346751742159453,-0.000429033997544434,0.00264836159342345,-0.002289468481742,0.00467156368526398,0.0017889934205867
"max.f.ratio",0.00288041518536323,-0.000811036514654974,-0.0223848518036873,0.00270586896986823,0.00325140320496106,0.00129887954187807,-0.0226072526517921,0.000734148150293508,-0.00332518980003572
"max.nesting.life",-0.00888349075242212,-0.00396634842311128,-0.00652108753482067,0.00389493172875538,-0.00985142150545527,-0.00450145785070897,-0.00766788192083456,-0.00641683867653348,0.00612394392863984
"max.survival.e.f",0.0175068560162898,0.018862483118427,0.0166831650818543,0.0136773175200609,0.0163615204471939,0.0184605391021048,0.0150834099575984,0.000520129670845705,0.496445249855082
"mw_IT",0.457477984410121,0.46701709563068,0.423079884510473,0.478376524570095,0.457787132831889,0.472923443270163,0.422953115764345,-0.000846383847837338,-0.593664709850101
"nectar_prop",-0.0053590612385369,-0.00508379008098517,-0.00589755820691669,-0.0025830546165064,-0.00485004820089363,-0.00377206011664848,-0.00588102828467071,0.00622684655068758,0.00785851348046496
"p.max.nesting.life",-0.0149759341280405,-0.00875416760723869,-0.00950443183861103,0.00889075846614352,-0.01495586818245,-0.00822558182879117,-0.00967293587550405,0.00279194675955858,0.0178473128623068
"SM",0.000247690293992046,0.000218307787394105,-0.000484320169610938,0.000724814416422661,-0.000207787122650944,0.000453686052698457,-0.000812153206614372,-0.00669395517922151,0.00795651555345377
"t.maturation",-0.0984621690446286,-0.156040851021527,-0.0444784650899933,-0.48192114510641,-0.0961028187561594,-0.15753145437484,-0.0430664916059018,-0.00367578131775189,0.390662334416141
"TC_soil",0.00887085680566936,0.0088418297028534,0.0100025927035507,0.0137799772842462,0.00872714104647602,0.00845232889816389,0.0100253980796017,0.000782734720543045,-0.00994397597470692
"var.emerge.f",0.144814814878382,0.194237489928768,0.101861801241903,0.38378465665275,0.142593779419884,0.194531854765293,0.09998084581238,0.000283423565255415,-0.291461916719266
"weight.prov",0.00829890504262616,0.0110782258495864,0.00660715587971918,0.011347400026511,0.00829121371038539,0.0094718393993833,0.00727177315106373,-0.0016250593396125,-0.00550482346299435
