"var","bees.emerged.yr.R","f.emerged.yr.R","m.emerged.yr.R","bees.nesting.R","sum.cells.R","sum.f.cells.R","sum.m.cells.R","deaths.exp.in.y","deaths.exp.ad.y"
"a.cell.age",0.0147443297572717,0.016080400133247,0.0172572851627577,0.00857512640656385,0.0175519820842063,0.0180700166505779,0.0189514027449346,-0.00231676820986337,0.01040058766562
"a.cell.resource",0.0510794817602509,0.053985472458661,0.041026750119565,0.0606411214153515,0.050043200342582,0.0516268426273356,0.0414054583024524,-0.006256241904839,-0.0963584249136133
"a.sex.age",0.0440203390015121,0.0257495127658838,0.047689952524547,0.0639079567352651,0.0480994936141258,0.0281536582797835,0.0488192593302789,-0.000972539512101722,-0.06036368646652
"a.sex.resource",-0.0290181392357762,-0.0403953593783903,-0.016603174702061,-0.00499918142291479,-0.0286605631293653,-0.0362589541992351,-0.0176021041416117,0.0193512550266614,0.00923466021439042
"a.size.age",-0.0050703477844099,0.00541740873196765,-0.00941745911985979,0.0197325677731551,-0.0068163586383415,-0.00144342158886627,-0.00846445005356099,0.0205172900795987,-0.0036625298522352
"a.size.resource",0.00414084252231149,0.00811857239302783,-0.0033080181144641,0.0229855445910125,0.00397960058173734,0.0073147358726355,-0.00318450221796301,-0.0149062446600583,-0.0346267936690397
"ad.ET",0.00428194132340324,-0.00143184626224356,0.00867905548961536,0.0191316004173424,0.00312807949760261,-0.00142119802989879,0.00913820597816314,-0.0138019724745788,-0.0269061493888075
"ad.nectar.cons",-0.16211467045619,-0.177510846672849,-0.131223182201539,-0.217497425108564,-0.163158873451632,-0.184572960990678,-0.131852474522292,0.00589567926887602,0.34681041142135
"ad.pollen.cons",-0.0481546296211743,-0.0469157373817323,-0.050425934673338,-0.0526013020135287,-0.0528468649974314,-0.0526752974617994,-0.0537161822329333,-0.00670719714660571,0.0588390855609138
"bw_SD",-0.0256476262908507,-0.037983036167647,-0.0125339243855567,-0.0470316820237783,-0.0266892661769025,-0.0376600308707989,-0.0137577367515567,0.00799854560605363,0.119965161923632
"dr.intercept",0.0235067201036008,0.025591094292551,0.023049255959256,0.0302458107288305,0.022005760262178,0.0206724745457821,0.0229096444238509,0.0239998575024383,-0.0176453352855128
"dr.slope",-0.00559444201278371,-0.00924459633575905,-0.000105302335233711,-0.0417796900614496,-0.0060513043962361,-0.00891421880835901,0.00123144510393608,0.00570161460651555,0.0955328684121415
"emerged.survival",0.0246072672828123,0.0263056836660617,0.0264151541925063,0.0341348410807947,0.0267768151270934,0.0323469536934691,0.0254412775223745,0.0188672331260256,0.0921948937196691
"kd_SD",-0.0448545453211355,-0.0745674942150146,-0.0244162369560558,-0.059732380135668,-0.0471389501897558,-0.0751636064396947,-0.0304229085508661,0.0228496429122117,0.10940843644037
"max.cells",-0.0142014852237473,-0.00956355758038366,-0.0156324296756918,-0.0228048104867977,-0.016395630889032,-0.0123606814784367,-0.018347511644308,-0.0251561100244136,0.056111646684834
"max.f.ratio",0.0127239401150888,0.00122069318475246,-0.0158866240951621,-0.00545598128618974,0.00998820818644199,-0.00634732789366527,-0.0149090427610648,-0.00725312392176449,0.00578084228934356
"max.nesting.life",-0.0198938871646242,-0.0357854019109905,0.0063695557499941,-0.0751325760343558,-0.0171014159823259,-0.0304714488085699,0.00801572152807226,0.0221575939624333,0.0819454823016798
"max.survival.e.f",0.00220604661427574,0.00820762626490221,-0.00868515785305352,-0.0057975526281035,-0.00489389663245716,0.00135319689790521,-0.015186746640033,-0.00345218210318305,0.578588257200461
"mw_SD",0.0450659596479305,0.051512780558098,0.0417997235804738,0.0840982707365691,0.0446491575397585,0.0489363570871119,0.0431240654936541,0.0181556439656283,-0.125536675991982
"nectar_prop",-0.00217090049149727,0.00648626884349352,-0.00634380879920307,0.00129895245851081,-0.00152127564347881,0.0115795512978103,-0.006418199823218,-0.0379659162900541,0.010807366898599
"p.max.nesting.life",0.0314287545067788,0.032956205770223,0.0452398787996602,0.0448775039219199,0.0283008363832727,0.0309395343825191,0.0394327870089455,-0.0126152990473858,-0.000600894307246466
"SM",-0.000126277507048668,-0.00908296957583243,0.00677362476072236,-0.00358281741647148,0.000732806110144377,-0.00438509650654254,0.00406516999151672,0.0371895553586636,-0.00108765693183428
"t.maturation",-0.127483781684694,-0.190459455525701,-0.0647300385629098,-0.529122532421021,-0.128879838379394,-0.192679299505924,-0.0678827507751966,0.0280976938539152,0.467705639765404
"TC_soil",0.0323166175377791,0.0228470757969972,0.0319669565511563,0.0221952263259479,0.0375720461170971,0.0333929120934632,0.0355339248927871,-0.0121174913032479,-0.00650742117204756
"var.emerge.f",0.16614493885877,0.212943037037981,0.114671185017992,0.4191933542469,0.166497315166035,0.213718876111429,0.117493475477907,-0.00101478793032158,-0.454238800341503
"weight.prov",0.0237005968250643,0.0357414509978529,0.00605710197524409,0.0514761585898119,0.0223425673763615,0.0350490525781062,0.00774153191236459,0.013949352131888,-0.0359370685193526
