"name","Start.day","Species","Voltinism","Initial.num.f","Initial.num.m","Initial.stage","Initial.age","RndSeed","MultiYearInput","List.input.floral","Num.repeat.yr","input.floral","stoch.crop.forag","Density.dep","DD.thresh.s","DD.max.cells.s","DD.funct","DD.log.slope","day.emerge.f","var.emerge.f","day.emerge.m","var.emerge.m","latest.emerge","dev.egg","dev.larva","dev.cocoon","t.maturation","m.life","max.nesting.life","p.max.nesting.life","max.f.ratio","max.cells","max.survival.e.f","max.survival.e.m","emerged.survival","a.cell.age","a.sex.age","a.size.age","a.cell.resource","a.sex.resource","a.size.resource","Effects","ad.nectar.cons","ad.pollen.cons","k_CA","Transfer.mat.adult","ad.ET","TC_soil","TC_leaf","Exposure.resting.soil","GUTS","t.guts","kd_SD","bw_SD","mw_SD","kd_IT","mw_IT","Fs_IT","nectar_prop","weight.prov","Transfer.mat.dev","SM","F","SA_i","dr.intercept","dr.slope"
1,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",4,"99","2","365","8","32","68",3,"21",26,0.0724051105706065,0.726088300275115,2.67173625171644,0.750983000308994,0.750983000308994,0.562055476843779,-0.00502902502622163,-0.0443098869624777,-0.00475530689810496,0.914985013135584,0.222756648974254,0.213908654272948,"TRUE",197.535360044597,16.2953777867368,"0.4","TRUE",0.127424366248434,0.551804826781752,"0","FALSE","GUTS-SD","10",0.344903468720731,0.0138134194061209,12.4507224125181,"0","0","0",0.788754809510922,297.337453511006,"TRUE",139.929687433983,"0","0",0.988361450996385,-0.989814745796116
2,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",4,"99","2","365","8","32","68",8,"21",35,0.0495804880548129,0.725218516010388,2.4878858380182,0.889082399633927,0.889082399633927,0.546398023392099,-0.00451016629356186,-0.0385004564711236,-0.0018813306370307,1.29811679132141,0.572363201988289,0.25456102024979,"TRUE",146.367923864107,13.1697591164879,"0.4","TRUE",0.0427687901875029,0.520319878546222,"0","FALSE","GUTS-SD","10",0.307431012164187,0.0138120238421155,13.3555850390922,"0","0","0",0.78657193432251,302.35563253944,"TRUE",151.960792117463,"0","0",1.44865080298643,-1.14110714962553
3,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",6,"99","2","365","8","32","68",9,"21",36,0.0168143466667911,0.575019569863319,2.21210395102183,0.878441074845331,0.878441074845331,0.703496272001274,-0.00593654358702712,-0.0539059988962711,-0.00471987098091774,0.526524577594982,0.443275549090161,0.0132022991798941,"TRUE",183.828844667481,0.231433353982946,"0.4","TRUE",0.0544422156751572,0.662517883063161,"0","FALSE","GUTS-SD","10",0.335671839365456,0.0153021259453461,14.0688464099448,"0","0","0",0.78377707253691,311.873989918609,"TRUE",185.628119025597,"0","0",1.17998164182009,-0.607762488371052
4,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",1,"99","2","365","8","32","68",1,"21",27,0.025471967159348,0.507127894819898,2.23191772423385,0.798715643591628,0.798715643591628,0.595905738410723,-0.00662634228545108,-0.0324874459692557,-0.00438184740701544,0.443376646471575,0.230883840346709,0.178074772786621,"TRUE",151.870626896439,21.0818710088589,"0.4","TRUE",0.0259812342065341,0.486790644117897,"0","FALSE","GUTS-SD","10",0.417876526032058,0.0151406193699142,13.8304992639466,"0","0","0",0.782074232556692,289.050123769609,"TRUE",205.134951057285,"0","0",0.846545263767762,-0.581255850016881
5,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",6,"99","2","365","8","32","68",10,"21",28,0.0839761348422916,0.856400264667965,2.91166817795086,0.658319144645868,0.658319144645868,0.542755383811958,-0.00446752769792173,-0.0565537214180971,-0.00145106002910648,1.20128673992777,0.484880178774561,0.238349874545525,"TRUE",220.890081968683,7.21512894438799,"0.4","TRUE",0.104471385227933,0.937673786559641,"0","FALSE","GUTS-SD","10",0.500280205077999,0.0137528318960925,12.5967405721601,"0","0","0",0.784785169888183,300.58880267134,"TRUE",192.118189383275,"0","0",1.3226440040179,-0.680829542419953
6,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",4,"99","2","365","8","32","68",8,"21",36,0.0799818943193352,0.64847973238561,1.74979445472832,0.83775199422301,0.83775199422301,0.671618527446499,-0.00597795095387673,-0.052599314786533,-0.00222442007267981,0.958056186765523,0.385480642266079,0.138523669102183,"TRUE",258.994443689422,12.153197484213,"0.4","TRUE",0.0815107706774258,0.40167155043518,"0","FALSE","GUTS-SD","10",0.470305737829101,0.0111166703127911,13.0024910474544,"0","0","0",0.787877823602019,331.781104084228,"TRUE",214.788874512419,"0","0",1.02910261314466,-0.674243935052525
7,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",1,"99","2","365","8","32","68",10,"21",27,0.0332338826092227,0.458491753869423,1.08097468431041,0.696169165683354,0.696169165683354,0.602570278781716,-0.00411452763881747,-0.0560880164520422,-0.00189068891375791,0.861282571492757,0.268193447729293,0.131952832207572,"TRUE",257.307697682665,14.1015795309678,"0.4","TRUE",0.151526654798325,0.327235593490103,"0","FALSE","GUTS-SD","10",0.343761179644845,0.0162073521115503,14.4854013406207,"0","0","0",0.777827497542309,282.792940293464,"TRUE",196.581355305286,"0","0",0.949433128811848,-1.10787587705441
8,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",2,"99","2","365","8","32","68",4,"21",34,0.0125197048144741,0.540280668477863,1.89001406350632,0.698081354450061,0.698081354450061,0.722372627383896,-0.00583187893713958,-0.0531775280629442,-0.00384973466193809,1.00140912084754,0.333655471384472,0.0838585427250458,"TRUE",175.180066732104,22.6626086647064,"0.4","TRUE",0.0761878732583936,0.27692835614777,"0","FALSE","GUTS-SD","10",0.454741468277089,0.0143977677856123,12.3788765631435,"0","0","0",0.788343357429717,284.363249391131,"TRUE",213.495186965726,"0","0",1.5123916699319,-0.911732157232049
9,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",7,"99","2","365","8","32","68",7,"21",27,0.0518816035386557,0.591447378284324,1.48529064390629,0.767577561609131,0.767577561609131,0.678783422604536,-0.00480828672617474,-0.0534536388816706,-0.00468672219564154,0.793527032422949,0.271592112088376,0.251604678813984,"TRUE",181.349499346074,22.8229835059145,"0.4","TRUE",0.0914558184313185,0.514289737621788,"0","FALSE","GUTS-SD","10",0.474010261910688,0.0159164352232987,12.3219575867773,"0","0","0",0.785432271075509,307.23622038766,"TRUE",163.197433731903,"0","0",0.930644918012929,-0.970714074985868
10,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",6,"99","2","365","8","32","68",10,"21",29,0.0919326816196882,0.620919777952537,2.4069725361642,0.798141283946815,0.798141283946815,0.623700823735379,-0.00662970964984809,-0.0560273062400146,-0.00139951220300607,0.847205987752052,0.45206113084725,0.230819942588881,"TRUE",258.172921988421,0.074938893632245,"0.4","TRUE",0.0244909019165261,0.00909979159567904,"0","FALSE","GUTS-SD","10",0.506264053221142,0.0122516028693892,14.4617292048671,"0","0","0",0.779539299103424,272.920942579977,"TRUE",178.464166529603,"0","0",1.24892669358423,-0.597691734869234
11,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",3,"99","2","365","8","32","68",3,"21",31,0.0446616790870188,0.934843540166734,1.05544529413665,0.766081879833958,0.766081879833958,0.619422724514784,-0.00545493100039116,-0.0496937389309663,-0.00284436864153881,0.696183900908981,0.486796162389325,0.0670687000142993,"TRUE",265.955329627938,2.42551870331546,"0.4","TRUE",0.0319081720948628,0.382775716358629,"0","FALSE","GUTS-SD","10",0.350089068051714,0.0164758716478527,12.3743958463453,"0","0","0",0.771823379018856,264.4843193414,"TRUE",216.928995470848,"0","0",1.31393346266338,-0.910563810582641
12,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",3,"99","2","365","8","32","68",1,"21",29,0.0468830301472495,0.771647997989858,1.56782890144057,0.638263106982586,0.638263106982586,0.506646830276528,-0.00639529951162437,-0.0518492354450935,-0.00198959108852861,0.646907989807458,0.419330048061202,0.147989589566309,"TRUE",167.531789950515,8.65112703813491,"0.4","TRUE",0.112530585674475,0.155298391061868,"0","FALSE","GUTS-SD","10",0.455615194145562,0.0136782450240491,14.1284915281368,"0","0","0",0.771652842551799,321.619249545311,"TRUE",210.903549534632,"0","0",0.957511193141927,-0.760490274046726
13,"1","O.bicornis","univoltine","100","200","cocoon","200","573,74,197,3409,42,6840,918,123,4920,387","FALSE",NA,"2","Floral_Exp1_Osmia_Jan2023.csv","FALSE","FALSE","1","1","linear","1","113",7,"99","2","365","8","32","68",6,"21",29,0.0521959687411762,0.567856897005899,2.72377239292122,0.646218371132494,0.646218371132494,0.744975031781343,-0.00670439955465376,-0.0408818108872001,-0.00458868587509197,1.28263657841538,0.318056306455883,0.250152776247772,"TRUE",229.55545616821,8.62039567096609,"0.4","TRUE",0.117851449127778,0.760219434604581,"0","FALSE","GUTS-SD","10",0.474123997214944,0.012780620585761,14.5958396799787,"0","0","0",0.785222659692363,319.454434159247,"TRUE",144.692195162727,"0","0",1.01018359214636,-0.65009818889901
