name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,Effects,ad.nectar.cons,ad.pollen.cons,k_CA,Transfer.mat.adult,ad.ET,TC_soil,TC_leaf,Exposure.resting.soil,GUTS,t.guts,kd_SD,bw_SD,mw_SD,kd_IT,mw_IT,Fs_IT,nectar_prop,weight.prov,Transfer.mat.dev,SM,F,SA_i,dr.intercept,dr.slope
1,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,3,21,26,0.072405111,0.7260883,2.671736252,0.750983,0.750983,0.562055477,-0.005029025,-0.044309887,-0.004755307,0.914985013,0.222756649,0.213908654,TRUE,197.53536,16.29537779,0.4,TRUE,0.127424366,0.551804827,0,FALSE,GUTS-IT,10,0,0,0,0.012163006,4.671422015,2.805168563,0.78875481,297.3374535,TRUE,139.9296874,0,0,0.988361451,-0.989814746
2,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,8,21,35,0.049580488,0.725218516,2.487885838,0.8890824,0.8890824,0.546398023,-0.004510166,-0.038500456,-0.001881331,1.298116791,0.572363202,0.25456102,TRUE,146.3679239,13.16975912,0.4,TRUE,0.04276879,0.520319879,0,FALSE,GUTS-IT,10,0,0,0,0.003348057,4.669263542,3.016303176,0.786571934,302.3556325,TRUE,151.9607921,0,0,1.448650803,-1.14110715
3,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,6,99,2,365,8,32,68,9,21,36,0.016814347,0.57501957,2.212103951,0.878441075,0.878441075,0.703496272,-0.005936544,-0.053905999,-0.004719871,0.526524578,0.443275549,0.013202299,TRUE,183.8288447,0.231433354,0.4,TRUE,0.054442216,0.662517883,0,FALSE,GUTS-IT,10,0,0,0,0.009991376,6.973954795,3.182730829,0.783777073,311.8739899,TRUE,185.628119,0,0,1.179981642,-0.607762488
4,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,1,99,2,365,8,32,68,1,21,27,0.025471967,0.507127895,2.231917724,0.798715644,0.798715644,0.595905738,-0.006626342,-0.032487446,-0.004381847,0.443376646,0.23088384,0.178074773,TRUE,151.8706269,21.08187101,0.4,TRUE,0.025981234,0.486790644,0,FALSE,GUTS-IT,10,0,0,0,0.029329049,6.724157959,3.127116495,0.782074233,289.0501238,TRUE,205.1349511,0,0,0.846545264,-0.58125585
5,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,6,99,2,365,8,32,68,10,21,28,0.083976135,0.856400265,2.911668178,0.658319145,0.658319145,0.542755384,-0.004467528,-0.056553721,-0.00145106,1.20128674,0.484880179,0.238349875,TRUE,220.890082,7.215128944,0.4,TRUE,0.104471385,0.937673787,0,FALSE,GUTS-IT,10,0,0,0,0.048713534,4.577713333,2.839239467,0.78478517,300.5888027,TRUE,192.1181894,0,0,1.322644004,-0.680829542
6,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,8,21,36,0.079981894,0.648479732,1.749794455,0.837751994,0.837751994,0.671618527,-0.005977951,-0.052599315,-0.00222442,0.958056187,0.385480642,0.138523669,TRUE,258.9944437,12.15319748,0.4,TRUE,0.081510771,0.40167155,0,FALSE,GUTS-IT,10,0,0,0,0.041662397,0.500450084,2.933914578,0.787877824,331.7811041,TRUE,214.7888745,0,0,1.029102613,-0.674243935
7,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,1,99,2,365,8,32,68,10,21,27,0.033233883,0.458491754,1.080974684,0.696169166,0.696169166,0.602570279,-0.004114528,-0.056088016,-0.001890689,0.861282571,0.268193448,0.131952832,TRUE,257.3076977,14.10157953,0.4,TRUE,0.151526655,0.327235593,0,FALSE,GUTS-IT,10,0,0,0,0.011894297,8.374037933,3.279926979,0.777827498,282.7929403,TRUE,196.5813553,0,0,0.949433129,-1.107875877
8,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,2,99,2,365,8,32,68,4,21,34,0.012519705,0.540280668,1.890014064,0.698081354,0.698081354,0.722372627,-0.005831879,-0.053177528,-0.003849735,1.001409121,0.333655471,0.083858543,TRUE,175.1800667,22.66260866,0.4,TRUE,0.076187873,0.276928356,0,FALSE,GUTS-IT,10,0,0,0,0.038001088,5.575214175,2.788404531,0.788343357,284.3632494,TRUE,213.495187,0,0,1.51239167,-0.911732157
9,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,7,99,2,365,8,32,68,7,21,27,0.051881604,0.591447378,1.485290644,0.767577562,0.767577562,0.678783423,-0.004808287,-0.053453639,-0.004686722,0.793527032,0.271592112,0.251604679,TRUE,181.3494993,22.82298351,0.4,TRUE,0.091455818,0.514289738,0,FALSE,GUTS-IT,10,0,0,0,0.042533843,7.924086479,2.775123437,0.785432271,307.2362204,TRUE,163.1974337,0,0,0.930644918,-0.970714075
10,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,6,99,2,365,8,32,68,10,21,29,0.091932682,0.620919778,2.406972536,0.798141284,0.798141284,0.623700824,-0.00662971,-0.056027306,-0.001399512,0.847205988,0.452061131,0.230819943,TRUE,258.172922,0.074938894,0.4,TRUE,0.024490902,0.009099792,0,FALSE,GUTS-IT,10,0,0,0,0.050121163,2.255812438,3.274403481,0.779539299,272.9209426,TRUE,178.4641665,0,0,1.248926694,-0.597691735
