date,treatment,female.emerged,cum.female.emerged,male.emerged,cum.male.emerged,total.emerged,cum.total.emerged
4/21/2019,Ca,3,3,0,0,3,3
4/24/2019,Ca,5,8,3,3,8,11
4/27/2019,Ca,12,20,7,10,19,30
4/30/2019,Ca,2,22,12,22,14,44
5/3/2019,Ca,3,25,17,39,20,64
5/6/2019,Ca,1,26,1,40,2,66
5/9/2019,Ca,5,31,13,53,18,84
5/12/2019,Ca,4,35,16,69,20,104
5/15/2019,Ca,5,40,15,84,20,124
5/18/2019,Ca,2,42,18,102,20,144
4/21/2019,Cb,1,1,0,0,1,1
4/24/2019,Cb,5,6,3,3,8,9
4/27/2019,Cb,6,12,7,10,13,22
4/30/2019,Cb,10,22,10,20,20,42
5/3/2019,Cb,2,24,18,38,20,62
5/6/2019,Cb,0,24,3,41,3,65
5/9/2019,Cb,5,29,15,56,20,85
5/12/2019,Cb,1,30,18,74,19,104
5/15/2019,Cb,7,37,13,87,20,124
5/18/2019,Cb,4,41,15,102,19,143
4/21/2019,Cc,2,2,0,0,2,2
4/24/2019,Cc,6,8,3,3,9,11
4/27/2019,Cc,7,15,10,13,17,28
4/30/2019,Cc,4,19,16,29,20,48
5/3/2019,Cc,8,27,12,41,20,68
5/6/2019,Cc,0,27,0,41,0,68
5/9/2019,Cc,3,30,17,58,20,88
5/12/2019,Cc,0,30,20,78,20,108
5/15/2019,Cc,6,36,14,92,20,128
5/18/2019,Cc,2,38,18,110,20,148
4/21/2019,Cd,2,2,0,0,2,2
4/24/2019,Cd,4,6,1,1,5,7
4/27/2019,Cd,7,13,3,4,10,17
4/30/2019,Cd,9,22,11,15,20,37
5/3/2019,Cd,6,28,14,29,20,57
5/6/2019,Cd,1,29,1,30,2,59
5/9/2019,Cd,2,31,10,40,12,71
5/12/2019,Cd,8,39,11,51,19,90
5/15/2019,Cd,4,43,16,67,20,110
5/18/2019,Cd,1,44,19,86,20,130
4/21/2019,Ce,0,0,0,0,0,0
4/24/2019,Ce,4,4,1,1,5,5
4/27/2019,Ce,4,8,14,15,18,23
4/30/2019,Ce,5,13,15,30,20,43
5/3/2019,Ce,2,15,17,47,19,62
5/6/2019,Ce,0,15,1,48,1,63
5/9/2019,Ce,0,15,19,67,19,82
5/12/2019,Ce,3,18,17,84,20,102
5/15/2019,Ce,3,21,17,101,20,122
5/18/2019,Ce,3,24,16,117,19,141
4/21/2019,Cf,2,2,0,0,2,2
4/24/2019,Cf,2,4,0,0,2,4
4/27/2019,Cf,9,13,7,7,16,20
4/30/2019,Cf,4,17,10,17,14,34
5/3/2019,Cf,6,23,14,31,20,54
5/6/2019,Cf,1,24,1,32,2,56
5/9/2019,Cf,2,26,16,48,18,74
5/12/2019,Cf,0,26,20,68,20,94
5/15/2019,Cf,2,28,18,86,20,114
5/18/2019,Cf,6,34,14,100,20,134
4/21/2019,Ra,0,0,0,0,0,0
4/24/2019,Ra,2,2,1,1,3,3
4/27/2019,Ra,1,3,3,4,4,7
4/30/2019,Ra,1,4,2,6,3,10
5/3/2019,Ra,1,5,1,7,2,12
5/6/2019,Ra,0,5,0,7,0,12
5/9/2019,Ra,0,5,1,8,1,13
5/12/2019,Ra,0,5,7,15,7,20
5/15/2019,Ra,3,8,13,28,16,36
5/18/2019,Ra,1,9,18,46,19,55
4/21/2019,Rb,0,0,5,5,5,5
4/24/2019,Rb,2,2,4,9,6,11
4/27/2019,Rb,0,2,2,11,2,13
4/30/2019,Rb,1,3,0,11,1,14
5/3/2019,Rb,1,4,7,18,8,22
5/6/2019,Rb,0,4,0,18,0,22
5/9/2019,Rb,0,4,2,20,2,24
5/12/2019,Rb,0,4,3,23,3,27
5/15/2019,Rb,2,6,15,38,17,44
5/18/2019,Rb,1,7,14,52,15,59
4/21/2019,Rc,0,0,0,0,0,0
4/24/2019,Rc,1,1,0,0,1,1
4/27/2019,Rc,0,1,0,0,0,1
4/30/2019,Rc,0,1,0,0,0,1
5/3/2019,Rc,0,1,1,1,1,2
5/6/2019,Rc,0,1,0,1,0,2
5/9/2019,Rc,0,1,0,1,0,2
5/12/2019,Rc,0,1,4,5,4,6
5/15/2019,Rc,1,2,6,11,7,13
5/18/2019,Rc,0,2,19,30,19,32
