Plot-Titel: GeN-2705-E-M,,,,
Anz.,Date,Time,Temp,RH
1,18.03.19,16:52:03,24.363,39.431
2,18.03.19,17:07:03,23.809,35.879
3,18.03.19,17:22:03,23.545,35.522
4,18.03.19,17:37:03,23.256,34.831
5,18.03.19,17:52:03,22.992,35.535
6,18.03.19,18:07:03,22.896,35.889
7,18.03.19,18:22:03,22.8,35.88
8,18.03.19,18:37:03,22.681,35.967
9,18.03.19,18:52:03,22.537,36.019
10,18.03.19,19:07:03,22.393,36.005
11,18.03.19,19:22:03,22.178,36.017
12,18.03.19,19:37:03,21.987,36.097
13,18.03.19,19:52:03,21.843,36.017
14,18.03.19,20:07:03,21.748,35.876
15,18.03.19,20:22:03,21.652,35.801
16,18.03.19,20:37:03,21.581,35.695
17,18.03.19,20:52:03,21.509,35.557
18,18.03.19,21:07:03,21.461,35.519
19,18.03.19,21:22:03,21.413,35.448
20,18.03.19,21:37:03,21.366,35.345
21,18.03.19,21:52:03,21.318,35.241
22,18.03.19,22:07:03,21.27,35.171
23,18.03.19,22:22:03,21.246,35.103
24,18.03.19,22:37:03,21.223,35.133
25,18.03.19,22:52:03,21.175,35.162
26,18.03.19,23:07:03,21.127,35.058
27,18.03.19,23:22:03,21.079,35.021
28,18.03.19,23:37:03,21.056,35.018
29,18.03.19,23:52:03,21.008,34.948
30,19.03.19,0:07:03,20.984,34.88
31,19.03.19,0:22:03,20.936,34.677
32,19.03.19,0:37:03,20.936,34.545
33,19.03.19,0:52:03,20.936,34.479
34,19.03.19,1:07:03,20.936,34.347
35,19.03.19,1:22:03,20.913,34.246
36,19.03.19,1:37:03,20.889,34.145
37,19.03.19,1:52:03,20.889,34.078
38,19.03.19,2:07:03,20.865,34.01
39,19.03.19,2:22:03,20.841,33.942
40,19.03.19,2:37:03,20.841,33.909
41,19.03.19,2:52:03,20.817,33.807
42,19.03.19,3:07:03,20.817,33.741
43,19.03.19,3:22:03,20.793,33.706
44,19.03.19,3:37:03,20.77,33.671
45,19.03.19,3:52:03,20.746,33.602
46,19.03.19,4:07:03,20.746,33.536
47,19.03.19,4:22:03,20.746,33.47
48,19.03.19,4:37:03,20.722,33.402
49,19.03.19,4:52:03,20.698,33.333
50,19.03.19,5:07:03,20.698,33.267
51,19.03.19,5:22:03,20.674,33.165
52,19.03.19,5:37:03,20.65,33.097
53,19.03.19,5:52:03,20.65,33.031
54,19.03.19,6:07:03,20.627,32.962
55,19.03.19,6:22:03,20.627,32.863
56,19.03.19,6:37:03,20.627,32.863
57,19.03.19,6:52:03,20.698,32.836
58,19.03.19,7:07:03,20.746,32.741
59,19.03.19,7:22:03,20.793,32.613
60,19.03.19,7:37:03,20.889,32.422
61,19.03.19,7:52:03,20.603,31.333
62,19.03.19,8:07:03,20.793,31.882
63,19.03.19,8:22:03,21.318,32.593
64,19.03.19,8:37:03,21.819,32.805
65,19.03.19,8:52:03,22.082,33.061
66,19.03.19,9:07:03,22.321,33.183
67,19.03.19,9:22:03,22.705,33.251
68,19.03.19,9:37:03,22.992,33.277
69,19.03.19,9:52:03,23.184,33.361
70,19.03.19,10:07:03,23.28,33.503
71,19.03.19,10:22:03,23.304,33.805
72,19.03.19,10:37:03,23.232,33.665
73,19.03.19,10:52:03,23.088,33.685
74,19.03.19,11:07:03,23.04,33.747
75,19.03.19,11:22:03,23.136,34.022
76,19.03.19,11:37:03,22.561,31.904
77,19.03.19,11:52:03,22.8,32.326
78,19.03.19,12:07:03,23.04,32.347
79,19.03.19,12:22:03,23.256,32.634
80,19.03.19,12:37:03,23.352,32.876
81,19.03.19,12:52:03,23.4,33.114
82,19.03.19,13:07:03,23.497,32.789
83,19.03.19,13:22:03,23.352,30.431
84,19.03.19,13:37:03,23.16,29.675
85,19.03.19,13:52:03,23.016,30.537
86,19.03.19,14:07:03,23.088,30.879
87,19.03.19,14:22:03,23.184,31.155
88,19.03.19,14:37:03,23.256,31.228
89,19.03.19,14:52:03,23.232,31.494
90,19.03.19,15:07:03,23.184,31.624
91,19.03.19,15:22:03,23.16,32.024
92,19.03.19,15:37:03,23.28,32.636
93,19.03.19,15:52:03,23.136,32.456
94,19.03.19,16:07:03,22.465,34.027
95,19.03.19,16:22:03,19.318,28.523
96,19.03.19,16:37:03,20.031,32.677
97,19.03.19,16:52:03,20.793,32.779
98,19.03.19,17:07:03,21.199,33.114
99,19.03.19,17:22:03,21.437,33.732
100,19.03.19,17:37:03,21.509,34.037
101,19.03.19,17:52:03,21.581,34.011
102,19.03.19,18:07:03,21.604,34.013
103,19.03.19,18:22:03,21.581,33.746
104,19.03.19,18:37:03,21.557,33.81
105,19.03.19,18:52:03,21.461,33.635
106,19.03.19,19:07:03,21.366,33.593
107,19.03.19,19:22:03,21.318,33.556
108,19.03.19,19:37:03,21.246,33.516
109,19.03.19,19:52:03,21.175,33.509
110,19.03.19,20:07:03,21.127,33.439
111,19.03.19,20:22:03,21.079,33.368
112,19.03.19,20:37:03,21.056,33.366
113,19.03.19,20:52:03,21.008,33.295
114,19.03.19,21:07:03,20.96,33.291
115,19.03.19,21:22:03,20.936,33.189
116,19.03.19,21:37:03,20.889,33.152
117,19.03.19,21:52:03,20.865,33.083
118,19.03.19,22:07:03,20.841,33.048
119,19.03.19,22:22:03,20.817,33.046
120,19.03.19,22:37:03,20.77,33.009
121,19.03.19,22:52:03,20.746,32.94
122,19.03.19,23:07:03,20.698,32.936
123,19.03.19,23:22:03,20.674,32.867
124,19.03.19,23:37:03,20.65,32.865
125,19.03.19,23:52:03,20.603,32.795
126,20.03.19,0:07:03,20.579,32.826
127,20.03.19,0:22:03,20.579,32.726
128,20.03.19,0:37:03,20.555,32.658
129,20.03.19,0:52:03,20.555,32.591
130,20.03.19,1:07:03,20.531,32.523
131,20.03.19,1:22:03,20.507,32.454
132,20.03.19,1:37:03,20.484,32.386
133,20.03.19,1:52:03,20.484,32.386
134,20.03.19,2:07:03,20.46,32.251
135,20.03.19,2:22:03,20.436,32.249
136,20.03.19,2:37:03,20.412,32.18
137,20.03.19,2:52:03,20.412,32.114
138,20.03.19,3:07:03,20.365,32.11
139,20.03.19,3:22:03,20.365,32.01
140,20.03.19,3:37:03,20.341,31.975
141,20.03.19,3:52:03,20.317,31.973
142,20.03.19,4:07:03,20.293,31.904
143,20.03.19,4:22:03,20.293,31.838
144,20.03.19,4:37:03,20.269,31.836
145,20.03.19,4:52:03,20.246,31.767
146,20.03.19,5:07:03,20.222,31.732
