Plot-Titel: GeN-2710,,,,,,,,
Anz.,Date,Time,Temp,RH,,,,
1,2021-04-20,00/01/00 11:00:00,22.465,35.913,,,,
2,2021-04-20,00/01/00 11:15:00,22.321,36.46,,,,
3,2021-04-20,00/01/00 11:30:00,22.178,38.416,,,,
4,2021-04-20,00/01/00 11:45:00,22.082,38.242,,,,
5,2021-04-20,00/01/00 12:00:00,22.226,38.093,,,,
6,2021-04-20,00/01/00 12:15:00,22.274,38.098,,,,
7,2021-04-20,00/01/00 12:30:00,22.154,38.446,,,,
8,2021-04-20,00/01/00 12:45:00,22.13,38.803,,,,
9,2021-04-20,00/01/00 13:00:00,22.034,38.859,,,,
10,2021-04-20,00/01/00 13:15:00,19.936,41.488,,,,
11,2021-04-20,00/01/00 13:30:00,17.891,47.924,,,,
12,2021-04-20,00/01/00 13:45:00,17.177,49.676,,,,
13,2021-04-20,00/01/00 14:00:00,18.842,48.676,,,,
14,2021-04-20,00/01/00 14:15:00,17.106,57.507,,,,
15,2021-04-20,00/01/00 14:30:00,17.558,55.534,,,,
16,2021-04-20,00/01/00 14:45:00,17.582,57.974,,,,
17,2021-04-20,00/01/00 15:00:00,17.582,58.671,,,,
18,2021-04-20,00/01/00 15:15:00,17.748,57.301,,,,
19,2021-04-20,00/01/00 15:30:00,18.081,55.948,,,,
20,2021-04-20,00/01/00 15:45:00,17.986,58.977,,,,
21,2021-04-20,00/01/00 16:00:00,17.653,54.137,,,,
22,2021-04-20,00/01/00 16:15:00,18.105,61.317,,,,
23,2021-04-20,00/01/00 16:30:00,18.699,59.422,,,,
24,2021-04-20,00/01/00 16:45:00,18.509,55.215,,,,
25,2021-04-20,00/01/00 17:00:00,18.129,59.302,,,,
26,2021-04-20,00/01/00 17:15:00,17.748,57.301,,,,
27,2021-04-20,00/01/00 17:30:00,17.51,51.09,,,,
28,2021-04-20,00/01/00 17:45:00,17.106,52.242,,,,
29,2021-04-20,00/01/00 18:00:00,15.891,52.225,,,,
30,2021-04-20,00/01/00 18:15:00,15.318,54.654,,,,
31,2021-04-20,00/01/00 18:30:00,14.649,55.951,,,,
32,2021-04-20,00/01/00 18:45:00,14.361,61.033,,,,
33,2021-04-20,00/01/00 19:00:00,14.266,63.028,,,,
34,2021-04-20,00/01/00 19:15:00,14.361,62.395,,,,
35,2021-04-20,00/01/00 19:30:00,14.457,70.734,,,,
36,2021-04-20,00/01/00 19:45:00,14.457,69.269,,,,
37,2021-04-20,00/01/00 20:00:00,14.625,64.678,,,,
38,2021-04-20,00/01/00 20:15:00,14.864,56.921,,,,
39,2021-04-20,00/01/00 20:30:00,14.984,64.946,,,,
40,2021-04-20,00/01/00 20:45:00,14.529,63.515,,,,
41,2021-04-20,00/01/00 21:00:00,13.666,62.691,,,,
42,2021-04-20,00/01/00 21:15:00,12.509,67.037,,,,
43,2021-04-20,00/01/00 21:30:00,11.078,68.581,,,,
44,2021-04-20,00/01/00 21:45:00,9.805,72.406,,,,
45,2021-04-20,00/01/00 22:00:00,8.817,76.36,,,,
46,2021-04-20,00/01/00 22:15:00,7.945,79.302,,,,
47,2021-04-20,00/01/00 22:30:00,7.268,82.495,,,,
48,2021-04-20,00/01/00 22:45:00,6.56,84.388,,,,
49,2021-04-20,00/01/00 23:00:00,6,86.16,,,,
50,2021-04-20,00/01/00 23:15:00,5.565,86.676,,,,
51,2021-04-20,00/01/00 23:30:00,5.128,87.625,,,,
52,2021-04-20,00/01/00 23:45:00,4.766,88.737,,,,
53,2021-04-21,00/01/00 00:00:00,4.428,89.339,,,,
54,2021-04-21,00/01/00 00:15:00,4.141,89.596,,,,
55,2021-04-21,00/01/00 00:30:00,3.827,90.198,,,,
