Plot-Titel: GeN-2693 ,,,,,
Anz.,Date,Time,Temp,Event,Precip
1,2021-04-20,9:45:52,23.004,0,
2,2021-04-20,9:46:56,,,
3,2021-04-20,9:55:52,23.004,,
4,2021-04-20,10:05:52,22.238,,
5,2021-04-20,10:15:52,21.473,,
6,2021-04-20,10:25:52,21.091,,
7,2021-04-20,10:35:52,20.805,,
8,2021-04-20,10:45:52,20.615,,
9,2021-04-20,10:55:52,20.615,,
10,2021-04-20,11:05:52,20.615,,
11,2021-04-20,11:15:52,20.805,,
12,2021-04-20,11:25:52,20.996,,
13,2021-04-20,11:35:52,21.091,,
14,2021-04-20,11:45:52,21.091,,
15,2021-04-20,11:55:52,21.187,,
16,2021-04-20,12:05:52,21.187,,
17,2021-04-20,12:15:52,21.282,,
18,2021-04-20,12:25:52,21.282,,
19,2021-04-20,12:35:52,21.378,,
20,2021-04-20,12:45:52,21.378,,
21,2021-04-20,12:55:52,21.473,,
22,2021-04-20,13:05:52,21.569,,
23,2021-04-20,13:15:52,21.664,,
24,2021-04-20,13:25:52,21.664,,
25,2021-04-20,13:35:52,21.664,,
26,2021-04-20,13:45:52,21.664,,
27,2021-04-20,13:55:52,21.76,,
28,2021-04-20,14:05:52,21.855,,
29,2021-04-20,14:15:52,21.76,,
30,2021-04-20,14:25:52,21.76,,
31,2021-04-20,14:35:52,21.76,,
32,2021-04-20,14:45:52,21.76,,
33,2021-04-20,14:55:52,21.855,,
34,2021-04-20,15:05:52,21.951,,
35,2021-04-20,15:15:52,22.046,,
36,2021-04-20,15:25:52,22.142,,
37,2021-04-20,15:35:52,22.142,,
38,2021-04-20,15:45:52,22.238,,
39,2021-04-20,15:55:52,22.333,,
40,2021-04-20,16:05:52,22.429,,
41,2021-04-20,16:15:52,22.429,,
42,2021-04-20,16:25:52,22.429,,
43,2021-04-20,16:35:52,22.525,,
44,2021-04-20,16:45:52,22.525,,
45,2021-04-20,16:55:52,22.525,,
46,2021-04-20,17:05:52,22.525,,
47,2021-04-20,17:15:52,22.525,,
48,2021-04-20,17:25:52,22.525,,
49,2021-04-20,17:35:52,22.525,,
50,2021-04-20,17:45:52,22.525,,
51,2021-04-20,17:55:52,22.525,,
52,2021-04-20,18:05:52,22.429,,
53,2021-04-20,18:15:52,22.238,,
54,2021-04-20,18:25:52,22.046,,
