Parameter,Value
Script_version,Ruddle_field_InputSceB.R
Date_created,2024-02-09
Study info file,S15-01803_field_Tables/Study_Treatments_S15-01803_field.csv
Weather_file1,NA
Weather_file2,S15-01803_field_Tables/Weather_Ruddle_et_al_study_2015_Tue.csv
OSR_flowering_file,OSR_floral_function/OSR_BBCH_S15_01803_Tue2015.csv
Landcover_dist_file,Results_landuse_distances.csv
Landcover_factor_file,Landcover_factor_table.csv
wind.data,FALSE
min.temp,10
max.wind,7.2
max.precip,25.4
max.humid,100
use.sunshine,0
max.forag.hrs,10
osr.start.doy,113
study.end,149
prop.crop,0.73
foraging.radius,400
